date_time,temp,sal,cond,s_v
42937.50347,23,0.01,0,1490.75
42937.51389,20.67,0.01,0,1483.82
42937.52431,20.32,0.01,0,1482.74
42937.53472,19.85,0.01,0,1481.28
42937.54514,19.47,0.01,0,1480.07
42937.55556,18.13,20.9,28.93,1499.91
42937.56597,17.98,20.91,28.84,1499.47
42937.57639,17.86,20.97,28.84,1499.18
42937.58681,17.83,21.02,28.88,1499.13
42937.59722,17.89,20.98,28.87,1499.28
42937.60764,17.89,21.03,28.94,1499.34
42937.61806,17.75,21.12,28.94,1498.97
42937.62847,17.54,21.26,28.98,1498.49
42937.63889,17.18,21.41,28.94,1497.55
42937.64931,16.91,21.53,28.92,1496.85
42937.65972,16.49,21.75,28.9,1495.78
42937.67014,16.67,21.7,28.96,1496.29
42937.68056,16.39,21.83,28.94,1495.58
42937.69097,15.7,22.08,28.78,1493.64
42937.70139,16.18,21.9,28.88,1494.99
42937.71181,16.06,21.99,28.92,1494.72
42937.72222,16.09,21.92,28.86,1494.73
42937.73264,16.12,21.93,28.89,1494.84
42937.74306,16.15,21.92,28.89,1494.91
42937.75347,16.12,21.91,28.86,1494.81
42937.76389,16.09,21.9,28.83,1494.7
42937.77431,15.91,21.98,28.8,1494.21
42937.78472,15.76,22.02,28.75,1493.76
42937.79514,15.76,22.02,28.75,1493.76
42937.80556,15.79,22.02,28.78,1493.87
42937.81597,15.82,21.95,28.71,1493.89
42937.82639,15.82,21.93,28.68,1493.86
42937.83681,15.73,21.95,28.65,1493.59
42937.84722,15.73,21.98,28.69,1493.63
42937.85764,15.64,21.98,28.63,1493.33
42937.86806,15.64,21.98,28.63,1493.33
42937.87847,15.7,21.95,28.62,1493.49
42937.88889,15.82,21.88,28.62,1493.8
42937.89931,16.06,21.79,28.67,1494.47
42937.90972,16.55,21.61,28.78,1495.81
42937.92014,16.91,21.51,28.89,1496.82
42937.93056,16.58,21.64,28.84,1495.94
42937.94097,16.36,21.69,28.75,1495.32
42937.95139,16.39,21.67,28.75,1495.4
42937.96181,16.18,21.74,28.7,1494.81
42937.97222,16.15,21.78,28.73,1494.76
42937.98264,16.27,21.71,28.72,1495.06
42937.99306,16.3,21.7,28.72,1495.14
42938.00347,16.39,21.7,28.78,1495.43
42938.01389,16.49,21.67,28.81,1495.68
42938.02431,16.79,21.6,28.92,1496.56
42938.03472,16.79,21.6,28.92,1496.56
42938.04514,16.94,21.54,28.95,1496.96
42938.05556,17.12,21.54,29.07,1497.52
42938.06597,17,21.56,29.01,1497.17
42938.07639,17.03,21.54,29.01,1497.24
42938.08681,17.15,21.53,29.07,1497.6
42938.09722,17.33,21.5,29.15,1498.13
42938.10764,17.39,21.5,29.18,1498.31
42938.11806,17.54,21.46,29.24,1498.73
42938.12847,17.57,21.45,29.24,1498.81
42938.13889,17.48,21.47,29.21,1498.56
42938.14931,17.39,21.5,29.18,1498.31
42938.15972,17.36,21.51,29.18,1498.23
42938.17014,17.36,21.51,29.18,1498.23
42938.18056,17.33,21.5,29.15,1498.13
42938.19097,17.27,21.49,29.09,1497.92
42938.20139,17.27,21.54,29.16,1497.98
42938.21181,17.33,21.53,29.19,1498.16
42938.22222,17.45,21.51,29.25,1498.51
42938.23264,17.48,21.5,29.24,1498.59
42938.24306,17.48,21.47,29.21,1498.56
42938.25347,17.48,21.45,29.18,1498.53
42938.26389,17.48,21.45,29.18,1498.53
42938.27431,17.48,21.42,29.15,1498.5
42938.28472,17.48,21.42,29.15,1498.5
42938.29514,17.45,21.36,29.05,1498.33
42938.30556,17.39,21.39,29.05,1498.19
42938.31597,17.33,21.35,28.96,1497.95
42938.32639,17.33,21.32,28.93,1497.92
42938.33681,17.39,21.29,28.93,1498.07
42938.34722,17.36,21.23,28.83,1497.9
42938.35764,17.36,21.23,28.83,1497.9
42938.36806,17.45,21.2,28.86,1498.15
42938.37847,17.48,21.11,28.77,1498.14
42938.38889,17.42,21.09,28.71,1497.93
42938.39931,17.45,20.93,28.52,1497.83
42938.40972,17.42,0.01,0,1473.44
