date_time,temp,sal,cond,s_v
42937.54861,19.25,22.55,31.75,1505.14
42937.55903,17.82,22.48,30.69,1500.79
42937.56944,17.73,22.22,30.31,1500.22
42937.57986,17.73,22.15,30.22,1500.14
42937.59028,17.7,20.21,27.78,1497.79
42937.60069,17.73,20.23,27.83,1497.91
42937.61111,17.7,20.21,27.78,1497.79
42937.62153,17.17,20.42,27.71,1496.36
42937.63194,16.96,20.57,27.77,1495.88
42937.64236,16.81,20.61,27.73,1495.46
42937.65278,16.72,20.64,27.71,1495.21
42937.66319,16.78,20.65,27.75,1495.41
42937.67361,17.29,20.47,27.85,1496.8
42937.68403,16.75,20.64,27.73,1495.31
42937.69444,17.02,20.56,27.79,1496.06
42937.70486,16.56,20.74,27.74,1494.85
42937.71528,16.35,20.88,27.77,1494.34
42937.72569,16.11,20.92,27.66,1493.61
42937.73611,16.08,20.92,27.64,1493.51
42937.74653,15.99,20.93,27.6,1493.23
42937.75694,15.87,20.92,27.51,1492.83
42937.76736,15.75,20.93,27.44,1492.44
42937.77778,15.78,20.93,27.46,1492.55
42937.78819,15.72,20.94,27.44,1492.37
42937.79861,15.66,20.96,27.42,1492.19
42937.80903,15.69,20.96,27.45,1492.29
42937.81944,15.66,20.96,27.42,1492.19
42937.82986,15.54,21.01,27.41,1491.85
42937.84028,15.44,21.04,27.39,1491.59
42937.85069,15.47,21,27.36,1491.64
42937.86111,15.44,21.02,27.36,1491.56
42937.87153,15.5,20.98,27.36,1491.72
42937.88194,15.41,21.02,27.34,1491.46
42937.89236,15.66,20.96,27.42,1492.19
42937.90278,15.96,20.88,27.53,1493.08
42937.91319,16.38,20.79,27.67,1494.32
42937.92361,17.32,20.51,27.92,1496.94
42937.93403,17.08,20.54,27.81,1496.23
42937.94444,17.17,20.53,27.85,1496.5
42937.95486,17.29,20.49,27.87,1496.82
42937.96528,17.17,20.49,27.81,1496.45
42937.97569,16.99,20.55,27.77,1495.96
42937.98611,17.05,20.48,27.72,1496.06
42937.99653,17.2,20.46,27.78,1496.51
42938.00694,17.29,20.41,27.78,1496.73
42938.01736,17.43,20.37,27.82,1497.15
42938.02778,17.38,20.36,27.77,1496.95
42938.03819,17.46,20.35,27.82,1497.22
42938.04861,17.55,20.32,27.84,1497.47
42938.05903,17.52,20.36,27.86,1497.41
42938.06944,17.43,20.37,27.82,1497.15
42938.07986,17.41,20.36,27.79,1497.05
42938.09028,17.64,20.37,27.95,1497.8
42938.10069,17.7,20.34,27.95,1497.95
42938.11111,17.67,20.38,27.98,1497.9
42938.12153,17.73,20.38,28.02,1498.09
42938.13194,17.82,20.36,28.04,1498.33
42938.14236,17.85,20.38,28.09,1498.45
42938.15278,17.88,20.36,28.09,1498.52
42938.16319,17.88,20.34,28.06,1498.5
42938.17361,17.88,20.38,28.11,1498.55
42938.18403,17.88,20.34,28.06,1498.5
42938.19444,17.88,20.34,28.06,1498.5
42938.20486,17.94,20.33,28.09,1498.67
42938.21528,17.94,20.35,28.11,1498.69
42938.22569,17.82,21.02,28.88,1499.1
42938.23611,17.76,21.06,28.88,1498.96
42938.24653,17.76,21.03,28.85,1498.94
42938.25694,17.7,21.05,28.83,1498.77
42938.26736,17.58,21.03,28.73,1498.38
42938.27778,17.46,21.05,28.69,1498.04
42938.28819,17.55,21.09,28.79,1498.35
42938.29861,17.49,21.06,28.71,1498.13
42938.30903,17.58,21.09,28.81,1498.45
42938.31944,17.52,21.1,28.79,1498.28
42938.32986,17.52,21.1,28.79,1498.28
42938.34028,17.35,21.06,28.62,1497.67
42938.35069,17.29,21.07,28.59,1497.5
42938.36111,17.35,21.08,28.64,1497.69
42938.37153,17.41,21.09,28.69,1497.89
42938.38194,17.43,21.11,28.74,1498.01
42938.39236,16.9,21.1,28.38,1496.32
42938.40278,16.84,21.08,28.31,1496.1
42938.41319,17.05,21.08,28.45,1496.76
42938.42361,16.96,21.09,28.41,1496.49
42938.43403,16.96,21.09,28.41,1496.49
42938.44444,16.93,21.07,28.36,1496.37
42938.45486,16.72,21.1,28.27,1495.75
42938.46528,16.87,21.12,28.39,1496.24
42938.47569,17.14,21.09,28.52,1497.06
42938.48611,17.29,21.01,28.52,1497.43
42938.49653,17.49,20.98,28.61,1498.04
42938.50694,17.73,21.03,28.83,1498.84
42938.51736,18.33,20.98,29.14,1500.59
42938.52778,18.33,20.95,29.11,1500.57
42938.53819,18.21,20.89,28.96,1500.14
42938.54861,18.15,20.91,28.94,1499.97
42938.55903,18.12,20.9,28.91,1499.87
42938.56944,18.12,20.92,28.94,1499.9
42938.57986,18.09,20.9,28.89,1499.78
42938.59028,17.97,20.88,28.79,1499.39
42938.60069,17.88,20.91,28.77,1499.15
42938.61111,17.88,20.91,28.77,1499.15
42938.62153,17.82,20.92,28.75,1498.98
42938.63194,17.73,20.95,28.73,1498.74
42938.64236,17.52,20.98,28.63,1498.14
42938.65278,17.29,21.05,28.57,1497.47
42938.66319,17.58,20.95,28.63,1498.28
42938.67361,15.5,21.57,28.05,1492.41
42938.68403,15.44,21.56,28.01,1492.21
42938.69444,15.29,21.55,27.89,1491.69
42938.70486,15.35,21.6,27.99,1491.95
42938.71528,15.35,21.58,27.96,1491.92
42938.72569,15.6,21.56,28.1,1492.7
42938.73611,16.14,20.3,26.94,1492.99
42938.74653,16.17,20.29,26.94,1493.06
42938.75694,16.05,20.32,26.9,1492.71
42938.76736,16.17,20.27,26.92,1493.04
42938.77778,16.14,20.29,26.92,1492.96
42938.78819,15.78,20.37,26.8,1491.89
42938.79861,15.41,20.52,26.75,1490.87
42938.80903,15.38,20.54,26.75,1490.79
42938.81944,15.35,20.55,26.75,1490.71
42938.82986,15.6,20.42,26.74,1491.35
42938.84028,15.41,20.43,26.64,1490.76
42938.85069,15.44,20.45,26.68,1490.89
42938.86111,15.44,20.45,26.68,1490.89
42938.87153,15.41,20.46,26.68,1490.81
42938.88194,15.47,20.47,26.72,1491.01
42938.89236,15.5,20.47,26.75,1491.11
42938.90278,15.66,20.44,26.81,1491.58
42938.91319,16.11,20.38,27.01,1492.97
42938.92361,16.17,20.33,26.99,1493.11
