site	b_r	temp_av	temp_se	sal_av	sal_se	av_dmax_t	dmax_tse	av_dmin_t	dmin_tse	av_dmin_s	dmin_sse	tot_dh_t	tot_dh_s	month
A	b	17.7944873914841	0.0492360509420442	20.5689248895434	0.0708868541429646	23.5611764705882	0.726740380164386	15.3198039215686	0.250214886501869	12.8096078431373	1.46233624417981	22.25	1236.6675	4
A	r	13.6949277210884	0.0232669143263995	23.6586330782313	0.0159236034112389	15.1298	0.226658691536371	11.7902	0.142343215575623	22.9958	0.15373661282352	0	0	4
B	b	15.4253741760372	0.059984036160894	18.381213648701	0.153946037745735	21.2810714285714	0.927475857054781	13.3307142857143	0.314932985468904	3.16071428571429	1.49093867387351	0.2425	2032.88	4
B	r	16.0736994708995	0.0340765809761215	23.1873142857143	0.0192702300378644	17.0606	0.345657186547951	14.972	0.322443856843833	22.645	0.187861488271306	0	0	4
C	b	17.2572097422559	0.0510633789914732	20.8277577783492	0.102503909029672	23.739512195122	1.05592844080456	15.0092682926829	0.254961352940321	8.31853658536585	1.73214527783717	64.02	1769.995	4
C	r	16.3800242718447	0.0233121572622011	22.3513612565445	0.0166038288714699	17.3973469387755	0.220824016395079	15.2712244897959	0.236563159910754	21.8177551020408	0.191573609169198	0	14.3475	4
D	b	17.2754757969303	0.0542112089228322	21.1661416765053	0.0958786350478698	24.4155555555556	1.08228413321346	14.4671111111111	0.20251415269716	8.51844444444444	1.64843194409067	97.8475	1663.625	4
D	r	16.5006296032312	0.0289303279395204	22.0120490223079	0.015812361160105	18.1892307692308	0.327248452831513	14.8694871794872	0.241372578857426	21.5764102564103	0.184941354522498	0	13.5625	4
E	b	17.0618512396694	0.0626384571648403	19.7913672154617	0.0943808464387214	26.116	1.36830583148829	14.4422222222222	0.159531159329008	7.90022222222222	1.52795114314803	197.0825	1827.65	4
E	r	16.1650554899646	0.0244042751882184	22.9022904368359	0.0103337999429701	17.8962222222222	0.29265404971922	14.5848888888889	0.159897891099296	22.4004444444444	0.101431648655861	0	0	4
