site,b_r,bag,number,outplant_time,empty_dish,whole_oyster,length,dry_whole,dry_tissue,
D,r,1,1,51,2.6073,45.4584,58.25,24.9535,5.3029,
D,r,1,2,51,2.7778,51.4897,78.93,29.7923,5.261,
D,r,1,3,51,2.6215,46.4871,83.73,26.8566,4.6736,
D,r,1,4,51,2.6394,39.0473,70.89,24.7699,4.6026,
D,r,1,5,51,2.8235,64.0488,86.29,36.0728,6.2797,
D,r,1,6,51,2.7004,56.2704,73.55,31.1278,6.2907,
D,r,1,7,51,2.6877,41.3515,62.31,22.4264,4.7352,
D,r,1,8,51,2.677,31.7838,68.58,16.9555,4.0854,
D,r,1,9,51,2.6308,21.4858,56.83,14.6032,3.5506,
D,r,1,10,51,2.8037,35.3169,66.57,21.4848,4.5665,
D,r,2,1,51,2.6178,25.4404,54.55,14.6267,3.8631,
D,r,2,2,51,2.6591,23.444,60.29,14.1407,3.6329,
D,r,2,3,51,2.6034,18.747,57.01,11.0296,3.2182,
D,r,2,4,51,2.5493,30.0212,69.78,18.0412,4.3536,
D,r,2,5,51,2.5539,27.7373,54.82,15.0851,3.487,
D,r,2,6,51,2.6318,66.6011,105.61,37.7352,6.3095,
D,r,2,7,51,2.6582,44.9853,84.9,26.6135,5.2122,
D,r,2,8,51,2.7966,50.6971,79.35,27.1309,5.2552,
D,r,2,9,51,2.5731,54.6561,83,31.8909,5.8806,
D,r,2,10,51,2.6329,47.2286,78.11,26.4402,5.2118,
D,r,3,1,51,2.4796,41.1084,77.03,21.008,4.1706,
D,r,3,2,51,2.5281,18.7162,51.55,10.3386,3.203,
D,r,3,3,51,2.4532,14.1584,50.65,8.2235,2.7053,
D,r,3,4,51,2.5169,28.9623,62.59,13.605,3.1222,
D,r,3,5,51,2.5683,46.2098,79.22,23.7921,4.5032,
D,r,3,6,51,2.5206,40.4969,75.09,21.8916,4.1862,
D,r,3,7,51,2.6365,82.4034,86.41,41.1278,7.0407,
D,r,3,8,51,2.6009,66.2722,85.03,38.1094,6.807,
D,r,3,9,51,2.6479,53.7358,103.22,26.6542,4.7819,
D,r,4,1,51,2.5836,35.6478,67.5,15.0471,3.5531,
D,r,4,2,51,2.5852,20.8305,56.07,13.1115,3.4319,
D,r,4,3,51,2.5839,41.1502,79.75,20.2207,3.8356,
D,r,4,4,51,2.5171,48.0685,74.58,28.9145,5.3923,
D,r,4,5,51,2.544,27.0994,49.11,14.6315,3.9016,
D,r,4,6,51,2.6421,41.983,53.72,23.8313,4.8589,
D,r,4,7,51,2.6165,18.4573,55.49,12.2863,3.34,
D,r,4,8,51,2.6318,39.3019,67.77,20.9976,4.6702,
D,r,4,9,51,2.5923,67.864,68.97,38.5889,6.4504,
D,r,4,10,51,2.7439,47.1451,70.05,26.9822,4.9795,
D,r,5,1,51,2.6829,19.9471,53.67,11.4868,3.305,
D,r,5,2,51,2.5597,40.6986,57.62,24.7804,4.7605,
D,r,5,3,51,2.4789,52.943,92.55,28.465,5.0186,
D,r,5,4,51,2.5215,47.3857,76.82,22.9391,4.472,
D,r,5,5,51,2.5048,56.4045,91.79,26.2784,4.4898,
D,r,5,6,51,2.5952,20.6142,64.31,11.9925,3.316,
D,r,5,7,51,2.5844,32.032,67.13,17.3475,3.8647,
D,r,5,8,51,2.6812,40.501,61.8,20.9948,4.5224,
D,r,5,9,51,2.5411,12.4664,49.04,8.0425,2.8359,
D,r,5,10,51,2.5263,61.1673,82.2,29.0786,5.8706,
E,r,1,1,51,2.5687,43.3294,78.81,24.1859,4.5627,
E,r,1,2,51,2.6202,53.5247,96.19,27.0345,4.8195,
E,r,1,3,51,2.6118,67.5766,97.44,38.6923,5.9942,
E,r,1,4,51,2.5986,29.4085,70.38,17.001,3.8485,
E,r,1,5,51,2.5533,46.3478,78.49,26.3927,4.6888,
E,r,1,6,51,2.4715,48.8385,66.12,27.644,5.0111,
E,r,1,7,51,2.5371,69.7101,92.67,38.6777,6.4356,
E,r,1,8,51,2.5512,82.5882,106.05,48.2827,7.0809,
E,r,1,9,51,2.5821,58.5998,84.87,35.1791,5.6144,
E,r,1,10,51,2.6078,53.372,84.16,31.0872,6.115,
E,r,2,1,51,2.5636,51.3183,82.77,27.3453,4.5876,
E,r,2,2,51,2.7492,57.5641,82.66,30.4614,5.5473,
E,r,2,3,51,2.5732,79.7943,94.15,52.1112,6.8979,
E,r,2,4,51,2.6101,36.8395,73.25,20.4422,4.4727,
E,r,2,5,51,2.661,73.3738,84.75,46.7267,5.8947,
E,r,2,6,51,2.6071,40.3491,70.22,23.6951,4.2617,
E,r,2,7,51,2.5673,66.8112,77.15,38.3122,6.889,
E,r,2,8,51,2.5474,70.8508,100.6,41.5028,6.0552,
E,r,2,9,51,2.7994,44.9934,51.76,24.6164,5.1875,
E,r,2,10,51,2.5867,43.3458,76.1,25.6191,4.8212,
E,r,3,1,51,2.5773,28.6807,64.76,16.6022,3.727,
E,r,3,2,51,2.6094,58.6799,84.23,34.0059,5.8323,
E,r,3,3,51,2.5709,67.4175,90.42,39.075,6.4537,
E,r,3,4,51,2.5771,59.6964,75.12,33.8372,5.5286,
E,r,3,5,51,2.7296,37.4478,60.14,22.1186,4.3911,
E,r,3,6,51,2.5642,48.2408,79.06,28.782,5.3165,
E,r,3,7,51,2.5381,75.8262,88.08,40.6276,6.3661,
E,r,3,8,51,2.5347,52.8685,68.11,33.3496,5.6025,
E,r,3,9,51,2.6346,34.3847,64.14,20.779,4.0594,
E,r,3,10,51,2.7218,63.7844,91.07,33.4952,6.1725,
E,r,4,1,51,2.6787,41.0695,63.26,24.3352,4.9845,
E,r,4,2,51,2.636,54.5904,61.65,28.3361,5.3486,
E,r,4,3,51,2.58,48.4262,79.18,30.0858,5.4404,
E,r,4,4,51,2.4981,59.681,93.28,34.8631,6.4171,
E,r,4,5,51,2.4871,47.6644,77.65,27.1031,4.9911,
E,r,4,6,51,2.4818,44.4466,78.26,26.2965,4.9934,
E,r,4,7,51,2.4845,58.3324,78.44,34.7889,6.3779,
E,r,4,8,51,2.6049,65.8991,81.05,37.237,5.2792,
E,r,4,9,51,2.6094,45.2511,75.21,23.8713,4.2962,
E,r,4,10,51,2.6718,35.556,71.78,19.5423,4.1325,
E,r,5,1,51,2.5542,43.2646,64.73,25.473,4.288,
E,r,5,2,51,2.59,40.7414,67.1,22.6741,4.3351,
E,r,5,3,51,2.6724,45.6778,74.36,26.6318,5.1701,
E,r,5,4,51,2.5233,78.8234,88.61,40.1895,5.956,
E,r,5,5,51,2.5955,31.4842,62.78,19.3357,4.5492,
E,r,5,6,51,2.57,81.1269,76.91,43.237,6.9568,
E,r,5,7,51,2.5915,39.3563,63.3,22.9761,4.5227,
