site,b_r,bag,number,outplant_time,tin_ mass,wet_mass,dry_whole,dry_tissue,shell_length,shell_thick_bottom,shell_thick_top,
D,r,1,1,8.142857143,1.2478,5.5983,3.9514,1.5811,40.4,1.07,0.46,
D,r,1,2,8.142857143,1.0009,5.9446,4.2421,1.4003,46.04,1.21,0.72,
D,r,1,3,8.142857143,1.0339,5.1845,3.7018,1.3301,40.49,1.21,1.03,
D,r,1,4,8.142857143,0.9891,5.4664,3.8159,1.3895,44.51,1.06,0.58,
D,r,1,5,8.142857143,0.9764,5.2676,3.775,1.2469,49.59,1.31,1.36,
D,r,1,6,8.142857143,1.0089,4.332,3.2228,1.2295,36.19,1.4,0.72,
D,r,1,7,8.142857143,1.0184,4.515,3.4163,1.2819,37.61,0.8,0.71,
D,r,1,8,8.142857143,1.0054,4.4448,3.4181,1.2342,46,0.9,0.74,
D,r,1,9,8.142857143,1.0089,4.8546,3.3404,1.2849,37.66,0.9,0.75,
D,r,1,10,8.142857143,1.0109,4.5723,3.2218,1.2758,38.67,1.33,0.93,
D,r,2,1,8.142857143,1.0109,4.3374,3.3471,1.2376,46.81,1.13,0.6,
D,r,2,2,8.142857143,0.9821,6.6092,4.5069,1.414,46.46,1.19,0.8,
D,r,2,3,8.142857143,0.9568,4.8304,3.4127,1.2054,49.03,0.98,0.54,
D,r,2,4,8.142857143,1.0168,5.3035,3.7322,1.3671,42.99,0.99,1,
D,r,2,5,8.142857143,0.988,5.0684,3.6515,1.2984,39.04,0.9,0.88,
D,r,2,6,8.142857143,0.9756,4.1834,3.1565,1.3054,33.77,1.07,0.96,
D,r,2,7,8.142857143,1.025,4.3267,3.3605,1.3041,33.15,0.94,0.58,
D,r,2,8,8.142857143,0.9764,4.6615,3.3327,1.2482,43.96,1.08,0.71,
D,r,2,9,8.142857143,0.9725,3.9466,2.9983,1.2404,27.18,1.06,0.84,
D,r,2,10,8.142857143,1.0105,3.8061,2.7852,1.2365,28.02,1.12,0.54,
D,r,3,1,8.142857143,1.2403,5.613,4.1243,1.5684,40.73,1.3,0.68,
D,r,3,2,8.142857143,1.0201,3.8778,2.9581,1.2561,38.61,0.91,0.71,
D,r,3,3,8.142857143,1.0029,7.1375,4.7967,1.4888,51.51,1.21,0.7,
D,r,3,4,8.142857143,1.0141,5.6041,3.7049,1.3701,53.25,1.24,0.69,
D,r,3,5,8.142857143,1.0146,5.1289,3.7122,1.3767,42.75,1.19,0.77,
D,r,3,6,8.142857143,1.0011,4.9433,3.5932,1.3207,37.84,1.2,0.94,
D,r,3,7,8.142857143,1.0146,4.656,3.4337,1.2801,38.68,0.77,0.75,
D,r,3,8,8.142857143,1.0241,5.2673,3.6735,1.3396,40.46,0.97,0.6,
D,r,3,9,8.142857143,1.0058,5.2497,3.5306,1.3131,45.51,1.17,0.99,
D,r,3,10,8.142857143,1.0082,4.7029,3.3213,1.3271,40.34,1.09,0.64,
D,r,4,1,8.142857143,1.2512,4.0083,3.0491,1.4714,35.44,0.75,0.72,
D,r,4,2,8.142857143,0.9815,4.8423,3.5441,1.2961,39.48,0.98,0.73,
D,r,4,3,8.142857143,1.0058,3.8281,3.0251,1.1781,34.33,0.95,0.3,
D,r,4,4,8.142857143,1.0236,5.7215,3.8909,1.4185,40.31,1.04,0.61,
D,r,4,5,8.142857143,0.9974,5.0407,3.6913,1.3319,43.93,0.95,0.72,
D,r,4,6,8.142857143,1.0213,4.3051,3.3431,1.2441,49.96,1.02,0.71,
D,r,4,7,8.142857143,1.0339,4.9715,3.4587,1.3393,41.09,0.85,0.72,
D,r,4,8,8.142857143,1.0189,4.6006,3.2919,1.2985,38.48,0.8,0.56,
D,r,4,9,8.142857143,1.001,2.4553,1.9717,1.0873,28.02,1,0.84,
D,r,4,10,8.142857143,0.999,3.9701,2.9412,1.2448,37.35,0.98,0.79,
D,r,5,1,8.142857143,0.9984,5.9295,4.0618,1.3982,42.53,1.28,0.71,
D,r,5,2,8.142857143,0.9948,5.965,4.4173,1.3822,51.06,1.47,0.69,
D,r,5,3,8.142857143,0.9866,5.7272,3.8601,1.3602,43.55,0.84,0.95,
D,r,5,4,8.142857143,1.0073,4.9322,3.3885,1.4126,36.35,1.07,0.66,
D,r,5,5,8.142857143,1.0188,4.7075,3.5797,1.2741,37.4,1.17,0.88,
D,r,5,6,8.142857143,0.9994,5.2253,3.8693,1.3332,39.84,0.97,0.68,
D,r,5,7,8.142857143,0.9884,4.6485,3.3715,1.1207,37.61,1.03,1,
D,r,5,8,8.142857143,1.0001,5.7307,3.899,1.4235,39.72,1.18,0.73,
D,r,5,9,8.142857143,1.0176,3.1892,2.4851,1.1696,29.15,1.08,0.69,
D,r,5,10,8.142857143,1.0012,5.1546,3.7179,1.3748,41.58,1.28,0.7,
A,b,1,1,8.714285714,1.0366,5.2145,3.3474,1.1568,45.08,0.99,0.91,
A,b,1,2,8.714285714,1.0236,4.4851,3.4384,1.1553,37.44,1,0.57,
A,b,1,3,8.714285714,1.0192,3.2773,2.5382,1.0927,30.68,0.88,0.63,
A,b,1,4,8.714285714,0.9883,3.615,2.7404,1.0651,34.3,0.78,0.73,
A,b,1,5,8.714285714,1.0056,4.2103,3.3439,1.1457,35.12,0.86,0.68,
A,b,1,6,8.714285714,1.0145,5.7698,3.8748,1.1721,38.69,1.04,0.76,
A,b,1,7,8.714285714,1.0112,5.83,4.3474,1.3451,40.79,1.01,0.78,
A,b,1,8,8.714285714,0.9971,4.4023,3.1015,1.1152,35.07,0.93,0.69,
A,b,1,9,8.714285714,1.0059,5.4296,4.1654,1.2888,34.61,1.16,0.67,
A,b,1,10,8.714285714,1.0111,3.673,2.7459,1.2329,31.2,1.07,1.1,
A,b,2,1,8.714285714,1.0231,4.6603,3.4417,1.1731,43.88,0.75,0.65,
A,b,2,2,8.714285714,1.0216,5.2106,3.8619,1.1857,41.44,0.87,0.83,
A,b,2,3,8.714285714,1.01,4.5763,3.5026,1.1437,38.26,1.06,0.66,
A,b,2,4,8.714285714,0.9942,4.7829,3.4707,1.1696,0.93,,0.66,
A,b,2,5,8.714285714,1.0218,4.4089,3.1153,1.2307,33.89,0.98,0.88,
A,b,2,6,8.714285714,0.9953,5.0009,3.4976,1.1967,36.51,0.83,0.66,
A,b,2,7,8.714285714,1.0134,5.9462,4.0645,1.2615,42.02,1.5,0.69,
A,b,2,8,8.714285714,1.0302,4.5226,3.2435,1.1565,40.86,1.03,0.76,
A,b,2,9,8.714285714,0.9675,4.5636,3.2476,1.1115,36.43,0.92,0.9,
A,b,2,10,8.714285714,1.0199,5.934,4.4584,1.2251,44.5,1.02,0.67,
A,b,3,1,8.714285714,1.0062,3.761,2.7879,1.167,33.56,0.99,0.52,
A,b,3,2,8.714285714,1.0077,6.1361,4.1405,1.1714,47.31,1.18,0.73,
A,b,3,3,8.714285714,0.9891,2.4539,2.0317,1.0305,27.39,0.63,0.63,
A,b,3,4,8.714285714,0.9957,2.992,2.4677,1.0598,29.85,0.9,0.64,
A,b,3,5,8.714285714,0.9987,4.1002,2.9335,1.1282,36.92,0.91,0.55,
A,b,3,6,8.714285714,1.0208,4.2393,2.7974,1.1358,33.18,0.92,0.84,
A,b,3,7,8.714285714,0.9797,5.3486,3.8309,1.1946,50.93,1.15,0.78,
A,b,3,8,8.714285714,1.0183,3.0433,2.3788,1.0804,28.8,0.8,0.64,
A,b,3,9,8.714285714,0.9868,4.4357,3.2281,1.1433,40.75,1.02,0.56,
A,b,3,10,8.714285714,0.99,4.1548,3.0544,1.125,36.36,0.87,0.52,
A,b,4,1,8.714285714,1.0218,3.339,2.563,1.0999,35.72,0.75,0.6,
A,b,4,2,8.714285714,1.0136,3.0363,2.3488,1.0718,30.3,0.78,0.53,
A,b,4,3,8.714285714,0.9946,3.907,2.7676,1.1007,33.88,0.96,0.85,
A,b,4,4,8.714285714,1.0011,3.978,3.05,1.1314,32.23,0.68,0.85,
A,b,4,5,8.714285714,0.9834,4.0262,2.7662,1.0806,38.51,0.9,0.93,
A,b,4,6,8.714285714,1.0267,5.2941,3.5554,1.2206,35.79,0.72,0.88,
A,b,4,7,8.714285714,1.0178,4.5274,3.0757,1.1512,38.51,0.74,0.64,
A,b,4,8,8.714285714,1.0146,3.6769,2.7619,1.1456,38.22,0.96,0.92,
A,b,4,9,8.714285714,1.0104,4.7243,3.2307,1.1905,45.68,1.06,0.58,
A,b,4,10,8.714285714,1.0248,3.4466,2.6045,1.1181,31.9,1.16,0.62,
A,b,5,1,8.714285714,1.2684,3.6001,2.5976,1.3298,33.28,0.79,0.61,
A,b,5,2,8.714285714,1.2426,4.1945,3.2351,1.3789,32.71,0.85,0.81,
A,b,5,3,8.714285714,1.2313,3.1427,2.3676,1.2918,34.83,0.84,0.65,
A,b,5,4,8.714285714,1.2648,4.9575,3.6355,1.4546,36.87,0.79,0.48,
A,b,5,5,8.714285714,1.2351,3.1525,2.44,1.2961,31.54,0.7,0.58,
A,b,5,6,8.714285714,1.2633,3.4185,2.7684,1.3277,30.76,0.91,0.85,
A,b,5,7,8.714285714,0.9796,3.259,2.5338,1.0492,26.91,0.86,0.82,
A,b,5,8,8.714285714,0.9544,2.7023,2.099,1.0032,27.53,0.79,0.51,
A,b,5,9,8.714285714,0.9873,3.5387,2.7113,1.0918,35.96,1.03,0.46,
A,b,5,10,8.714285714,1.238,4.9545,3.5876,1.3581,40.44,1.12,0.65,
D,b,1,1,8.142857143,0.9924,3.1462,2.642,1.1145,32.63,0.96,0.66,
D,b,1,2,8.142857143,0.994,4.6687,3.295,1.1445,41.77,0.85,0.51,
D,b,1,3,8.142857143,1.0112,3.9016,2.9947,1.1304,34.23,1.06,0.62,
D,b,1,4,8.142857143,0.9853,3.7225,2.815,1.0794,36.52,0.79,0.66,
D,b,1,5,8.142857143,0.9985,3.7298,2.95572,1.1174,34.29,0.87,0.81,
D,b,1,6,8.142857143,0.9927,4.3234,3.4703,1.1472,36.34,1.1,0.96,
D,b,1,7,8.142857143,1.0006,4.459,3.4735,1.2027,40.61,1.03,0.95,
D,b,1,8,8.142857143,1.0008,3.4002,2.7506,1.1413,35.32,0.96,0.66,
D,b,1,9,8.142857143,1.0104,4.5464,3.0456,1.1589,35.5,1.02,0.88,
D,b,1,10,8.142857143,1.0284,2.8974,2.4537,1.1395,29.9,0.95,0.66,
D,b,2,1,8.142857143,1.0025,3.6516,3.1509,1.1269,37.09,1.15,0.95,
D,b,2,2,8.142857143,1.0067,4.2436,3.0721,1.1731,32.75,0.92,0.75,
D,b,2,3,8.142857143,0.998,3.1284,2.6014,1.1256,31.33,0.8,0.89,
D,b,2,4,8.142857143,0.9926,3.1676,2.6479,1.1186,30.9,1.01,0.81,
D,b,2,5,8.142857143,1.0356,4.412,3.6528,1.1721,37.7,1.02,0.96,
D,b,2,6,8.142857143,1.0162,3.2948,2.6541,1.1129,32.91,0.91,0.71,
D,b,2,7,8.142857143,1.0116,2.9615,2.3005,1.0798,27.36,1.12,0.64,
D,b,2,8,8.142857143,1.0231,4.4602,3.3404,1.168,35.88,0.94,0.81,
D,b,2,9,8.142857143,1.0389,3.4834,2.619,1.1192,32.25,0.99,0.54,
D,b,2,10,8.142857143,1.0237,2.6185,2.0383,1.0934,36.43,0.69,0.72,
D,b,3,1,8.142857143,0.9985,4.196,2.9672,1.1084,35.49,1.21,0.67,
D,b,3,2,8.142857143,0.9938,3.2364,2.6612,1.0955,36.21,1.22,0.58,
D,b,3,3,8.142857143,0.9954,4.3642,3.4248,1.1598,38.83,1.02,0.59,
D,b,3,4,8.142857143,1.0155,3.4767,2.7776,1.1542,36.61,1.25,0.58,
D,b,3,5,8.142857143,0.9954,4.5935,3.007,1.1673,34.73,1.04,1.04,
D,b,3,6,8.142857143,1.0123,3.8364,2.9291,1.1522,36.82,0.88,0.64,
D,b,3,7,8.142857143,1.2358,3.0732,2.4334,1.2977,32.53,0.88,0.61,
D,b,3,8,8.142857143,1.2374,4.6101,3.7693,1.4567,39.17,1.14,0.59,
D,b,3,9,8.142857143,1.0241,5.5704,3.6119,1.2115,35.91,1.14,0.79,
D,b,3,10,8.142857143,1.0185,4.0444,3.1923,1.2015,33.5,0.89,0.67,
D,b,4,1,8.142857143,1.2676,4.0152,3.4141,1.4175,36.4,0.92,0.73,
D,b,4,2,8.142857143,0.9936,3.2526,2.757,1.0921,28.81,1.32,0.66,
D,b,4,3,8.142857143,0.9992,3.3014,2.6622,1.094,32.18,1.3,0.74,
D,b,4,4,8.142857143,0.9701,4.3338,3.3123,1.1362,34.41,1.21,0.65,
D,b,4,5,8.142857143,1.0312,3.8803,2.7812,1.1632,30.47,0.72,0.57,
D,b,4,6,8.142857143,1.0026,2.3796,2.0551,1.0782,28.28,1.31,0.66,
D,b,4,7,8.142857143,0.9831,3.3102,2.7087,1.1023,30.76,0.65,0.86,
D,b,4,8,8.142857143,0.9852,3.8236,3.0646,1.136,34.23,0.9,0.58,
D,b,4,9,8.142857143,0.9999,4.2068,3.4565,1.1532,37.45,0.97,0.56,
D,b,4,10,8.142857143,1.0011,3.2518,2.5445,1.1338,31,0.84,0.55,
D,b,5,1,8.142857143,1.2463,4.6026,3.6997,1.3688,40.37,0.87,0.88,
D,b,5,2,8.142857143,1.0028,3.1604,2.4505,1.1119,34.81,0.81,0.86,
D,b,5,3,8.142857143,1.0055,4.5775,3.1914,1.1498,34.52,0.99,0.64,
D,b,5,4,8.142857143,0.9786,4.1127,3.0371,1.1201,35.84,1.17,0.83,
D,b,5,5,8.142857143,1.0085,3.3424,2.7675,1.1495,29.35,0.69,0.57,
D,b,5,6,8.142857143,0.9903,4.3614,3.4207,1.1461,40.12,1.06,0.81,
D,b,5,7,8.142857143,0.998,4.687,3.1158,1.132,38.65,0.64,0.65,
D,b,5,8,8.142857143,1.0215,3.4036,2.8103,1.1385,33.11,0.81,0.75,
D,b,5,9,8.142857143,1.0106,4.5194,3.4883,1.1487,41.87,0.8,0.66,
D,b,5,10,8.142857143,0.9991,4.9367,3.5669,1.1386,37.26,1.28,0.72,
E,r,1,1,8.142857143,1.0063,4.1569,3.0998,1.1949,34.77,0.89,0.46,
E,r,1,2,8.142857143,0.9554,4.3918,3.1631,1.2251,40.43,0.53,0.53,
