site,b_r,bag,number,outplant_time,tin_mass,wet_mass,shell_length,dry_whole,dry_tissue
A,b,1,1,31.57142857,2.4455,13.7823,46.56,8.947,2.8621
A,b,1,2,31.57142857,2.4789,26.2983,55.96,18.2338,3.5627
A,b,1,3,31.57142857,2.5028,13.985,51.57,9.5248,2.9062
A,b,1,4,31.57142857,2.4583,15.0247,50.99,10.0157,2.8492
A,b,1,5,31.57142857,2.5165,16.3414,56.46,10.0049,2.8021
A,b,1,6,31.57142857,2.4903,19.007,60.99,12.4968,2.889
A,b,1,7,31.57142857,2.5138,9.0416,47.52,6.9305,2.7521
A,b,1,8,31.57142857,2.5398,6.5376,36.45,4.9336,2.5678
A,b,1,9,31.57142857,2.4903,19.3907,67.74,11.2037,3.0661
A,b,1,10,31.57142857,2.464,22.1988,58.23,15.3818,3.0504
A,b,2,1,31.57142857,2.4502,11.7973,61.77,8.3559,2.8133
A,b,2,2,31.57142857,2.4362,22.7665,70.49,15.2566,3.2832
A,b,2,3,31.57142857,2.4717,8.9352,42.67,6.3138,2.598
A,b,2,4,31.57142857,2.447,10.8125,37.19,7.5437,2.6602
A,b,2,5,31.57142857,2.4665,6.9191,38.47,5.0773,2.5482
A,b,2,6,31.57142857,2.5094,14.3871,55.69,9.2642,2.8508
A,b,2,7,31.57142857,2.5101,27.4241,66.73,15.0476,3.0253
A,b,2,8,31.57142857,2.5162,34.2028,61.92,19.7405,3.4305
A,b,2,9,31.57142857,2.5087,16.8617,60.95,10.786,2.8437
A,b,2,10,31.57142857,2.5013,20.0241,64.43,12.5431,3.0125
A,b,3,1,31.57142857,2.4771,6.7263,35.25,5.1504,2.558
A,b,3,2,31.57142857,2.4807,7.9259,38.95,5.7242,2.6104
A,b,3,3,31.57142857,2.4718,6.6412,40.01,5.0263,2.5622
A,b,3,4,31.57142857,2.5033,5.4792,34.89,4.2021,2.5745
A,b,3,5,31.57142857,2.4648,7.9704,32.47,5.9154,2.5868
A,b,3,6,31.57142857,2.4848,12.0972,42.04,8.1669,2.7584
