site,b_r,bag,outplant_time,shell_length,month,growth_rate
D,r,1,51,58.25,12,0.09809803921568627
D,r,1,51,78.93,12,0.5035882352941178
D,r,1,51,83.73,12,0.5977058823529413
D,r,1,51,70.89,12,0.34594117647058825
D,r,1,51,86.29,12,0.6479019607843138
D,r,1,51,73.55,12,0.3980980392156862
D,r,1,51,62.31,12,0.1777058823529412
D,r,1,51,68.58,12,0.3006470588235294
D,r,1,51,56.83,12,0.07025490196078428
D,r,1,51,66.57,12,0.26123529411764695
D,r,2,51,54.55,12,0.025549019607843084
D,r,2,51,60.29,12,0.13809803921568625
D,r,2,51,57.01,12,0.07378431372549016
D,r,2,51,69.78,12,0.32417647058823534
D,r,2,51,54.82,12,0.030843137254901967
D,r,2,51,105.61,12,1.0267254901960785
D,r,2,51,84.9,12,0.6206470588235296
D,r,2,51,79.35,12,0.5118235294117646
D,r,2,51,83,12,0.5833921568627451
D,r,2,51,78.11,12,0.4875098039215686
D,r,3,51,77.03,12,0.4663333333333334
D,r,3,51,51.55,12,-0.033274509803921624
D,r,3,51,50.65,12,-0.05092156862745101
D,r,3,51,62.59,12,0.18319607843137262
D,r,3,51,79.22,12,0.5092745098039215
D,r,3,51,75.09,12,0.4282941176470589
D,r,3,51,86.41,12,0.6502549019607843
D,r,3,51,85.03,12,0.6231960784313726
D,r,3,51,103.22,12,0.9798627450980392
D,r,4,51,67.5,12,0.27947058823529414
D,r,4,51,56.07,12,0.0553529411764706
D,r,4,51,79.75,12,0.5196666666666667
D,r,4,51,74.58,12,0.4182941176470588
D,r,4,51,49.11,12,-0.08111764705882354
D,r,4,51,53.72,12,0.00927450980392155
D,r,4,51,55.49,12,0.04398039215686279
D,r,4,51,67.77,12,0.28476470588235286
D,r,4,51,68.97,12,0.30829411764705883
D,r,4,51,70.05,12,0.32947058823529407
D,r,5,51,53.67,12,0.00829411764705886
D,r,5,51,57.62,12,0.08574509803921564
D,r,5,51,92.55,12,0.7706470588235294
D,r,5,51,76.82,12,0.46221568627450965
D,r,5,51,91.79,12,0.7557450980392159
D,r,5,51,64.31,12,0.21692156862745102
D,r,5,51,67.13,12,0.2722156862745097
D,r,5,51,61.8,12,0.16770588235294112
D,r,5,51,49.04,12,-0.08249019607843139
D,r,5,51,82.2,12,0.5677058823529413
E,r,1,51,78.81,12,0.5012352941176471
E,r,1,51,96.19,12,0.8420196078431372
E,r,1,51,97.44,12,0.8665294117647059
E,r,1,51,70.38,12,0.33594117647058813
E,r,1,51,78.49,12,0.49496078431372537
E,r,1,51,66.12,12,0.25241176470588245
E,r,1,51,92.67,12,0.773
E,r,1,51,106.05,12,1.0353529411764706
E,r,1,51,84.87,12,0.6200588235294119
E,r,1,51,84.16,12,0.6061372549019607
E,r,2,51,82.77,12,0.5788823529411764
E,r,2,51,82.66,12,0.5767254901960783
E,r,2,51,94.15,12,0.8020196078431374
E,r,2,51,73.25,12,0.3922156862745098
E,r,2,51,84.75,12,0.6177058823529412
E,r,2,51,70.22,12,0.3328039215686274
E,r,2,51,77.15,12,0.46868627450980405
E,r,2,51,100.6,12,0.9284901960784313
E,r,2,51,51.76,12,-0.029156862745098076
E,r,2,51,76.1,12,0.44809803921568614
E,r,3,51,64.76,12,0.2257450980392158
E,r,3,51,84.23,12,0.6075098039215687
E,r,3,51,90.42,12,0.7288823529411765
E,r,3,51,75.12,12,0.42888235294117655
E,r,3,51,60.14,12,0.13515686274509806
E,r,3,51,79.06,12,0.5061372549019608
E,r,3,51,88.08,12,0.6829999999999999
E,r,3,51,68.11,12,0.2914313725490196
E,r,3,51,64.14,12,0.21358823529411766
E,r,3,51,91.07,12,0.7416274509803921
E,r,4,51,63.26,12,0.1963333333333333
E,r,4,51,61.65,12,0.16476470588235292
E,r,4,51,79.18,12,0.5084901960784315
E,r,4,51,93.28,12,0.7849607843137255
E,r,4,51,77.65,12,0.47849019607843146
E,r,4,51,78.26,12,0.49045098039215695
E,r,4,51,78.44,12,0.4939803921568627
E,r,4,51,81.05,12,0.545156862745098
E,r,4,51,75.21,12,0.43064705882352927
E,r,4,51,71.78,12,0.3633921568627451
E,r,5,51,64.73,12,0.2251568627450981
E,r,5,51,67.1,12,0.27162745098039204
E,r,5,51,74.36,12,0.4139803921568627
E,r,5,51,88.61,12,0.6933921568627451
E,r,5,51,62.78,12,0.18692156862745102
E,r,5,51,76.91,12,0.46398039215686265
E,r,5,51,63.3,12,0.19711764705882348
E,r,5,51,64.12,12,0.21319607843137264
E,r,5,51,74.53,12,0.41731372549019613
D,b,1,51,95.07,12,0.8200588235294116
D,b,1,51,83.59,12,0.5949607843137256
D,b,1,51,86.21,12,0.6463333333333332
D,b,1,51,85.81,12,0.6384901960784314
D,b,1,51,72.24,12,0.3724117647058823
D,b,1,51,55.74,12,0.04888235294117651
D,b,1,51,84.48,12,0.6124117647058824
D,b,1,51,71.03,12,0.34868627450980394
D,b,1,51,66.1,12,0.25201960784313715
D,b,1,51,63.94,12,0.2096666666666666
D,b,2,51,64.44,12,0.21947058823529408
D,b,2,51,62.49,12,0.1812352941176471
D,b,2,51,48.04,12,-0.10209803921568629
D,b,2,51,80.34,12,0.5312352941176471
D,b,2,51,67.69,12,0.2831960784313725
D,b,2,51,72.27,12,0.37299999999999994
D,b,2,51,77.05,12,0.4667254901960784
D,b,2,51,68.65,12,0.30201960784313736
D,b,2,51,93.03,12,0.7800588235294118
D,b,2,51,67.37,12,0.2769215686274511
D,b,3,51,70.65,12,0.3412352941176472
D,b,3,51,49.51,12,-0.07327450980392161
D,b,3,51,67.87,12,0.2867254901960785
D,b,3,51,63.7,12,0.20496078431372555
