site,b_r,date_time,temp,sal
A,b,42824.53125,17.03,0.01
A,b,42824.54167,16.91,0.01
A,b,42824.55208,19.14,0.01
A,b,42824.5625,19.49,0.01
A,b,42824.57292,18.25,0.01
A,b,42824.58333,17.51,0.01
A,b,42824.59375,17.27,0.01
A,b,42824.60417,17.03,0.01
A,b,42824.61458,16.79,26.62
A,b,42824.625,15.8,24.47
A,b,42824.63542,14.88,22.35
A,b,42824.64583,13.31,20.51
A,b,42824.65625,12.56,
A,b,42824.66667,12.08,
A,b,42824.67708,11.76,
A,b,42824.6875,11.73,
A,b,42824.69792,11.6,
A,b,42824.70833,11.48,
A,b,42824.71875,11.19,
A,b,42824.72917,11.06,
A,b,42824.73958,10.99,
A,b,42824.75,10.83,
A,b,42824.76042,10.57,
A,b,42824.77083,10.41,
A,b,42824.78125,10.38,
A,b,42824.79167,10.12,
A,b,42824.80208,9.85,
A,b,42824.8125,9.69,
A,b,42824.82292,9.59,
A,b,42824.83333,9.56,
A,b,42824.84375,9.49,
A,b,42824.85417,9.43,
A,b,42824.86458,9.43,
A,b,42824.875,9.39,
A,b,42824.88542,9.36,
A,b,42824.89583,9.36,
A,b,42824.90625,9.33,
A,b,42824.91667,9.29,
A,b,42824.92708,9.23,
A,b,42824.9375,9.19,
A,b,42824.94792,9.03,
A,b,42824.95833,8.93,
A,b,42824.96875,8.86,
A,b,42824.97917,8.79,
A,b,42824.98958,8.79,
A,b,42825,8.76,
A,b,42825.01042,8.73,
A,b,42825.02083,8.73,
A,b,42825.03125,8.73,
A,b,42825.04167,8.69,
A,b,42825.05208,8.73,
A,b,42825.0625,8.69,
A,b,42825.07292,8.69,
A,b,42825.08333,8.69,
A,b,42825.09375,8.66,
A,b,42825.10417,8.62,
A,b,42825.11458,8.59,
A,b,42825.125,8.56,
A,b,42825.13542,8.49,
A,b,42825.14583,8.49,
A,b,42825.15625,8.46,
A,b,42825.16667,8.46,
A,b,42825.17708,8.46,
A,b,42825.1875,8.46,
A,b,42825.19792,8.46,
A,b,42825.20833,8.46,
A,b,42825.21875,8.42,
A,b,42825.22917,8.42,
A,b,42825.23958,8.42,
A,b,42825.25,8.46,
A,b,42825.26042,8.46,
A,b,42825.27083,8.49,
A,b,42825.28125,8.49,
A,b,42825.29167,8.49,
A,b,42825.30208,8.49,
A,b,42825.3125,8.52,
A,b,42825.32292,8.56,
A,b,42825.33333,8.56,
A,b,42825.34375,8.62,
A,b,42825.35417,8.62,
A,b,42825.36458,8.59,
A,b,42825.375,8.62,
A,b,42825.38542,8.62,
A,b,42825.39583,8.59,
A,b,42825.40625,8.62,
A,b,42825.41667,8.62,
A,b,42825.42708,8.62,
A,b,42825.4375,8.66,
A,b,42825.44792,8.76,
A,b,42825.45833,8.83,
A,b,42825.46875,8.86,
A,b,42825.47917,8.93,
A,b,42825.48958,9.06,
A,b,42825.5,9.29,
A,b,42825.51042,9.52,
A,b,42825.52083,9.89,
A,b,42825.53125,10.7,
A,b,42825.54167,11.22,0.01
A,b,42825.55208,11.7,0.01
A,b,42825.5625,11.95,0.01
A,b,42825.57292,12.59,0.01
A,b,42825.58333,13.31,0.01
A,b,42825.59375,13.37,0.01
A,b,42825.60417,13.18,0.01
A,b,42825.61458,13.15,0.01
A,b,42825.625,12.93,0.01
A,b,42825.63542,13.46,0.01
A,b,42825.64583,12.78,0.01
A,b,42825.65625,12.08,0.01
A,b,42825.66667,11.99,0.01
A,b,42825.67708,12.93,26.26
A,b,42825.6875,12.84,25.84
A,b,42825.69792,12.4,25.5
A,b,42825.70833,11.76,25.24
A,b,42825.71875,10.99,25.21
A,b,42825.72917,10.74,25.14
A,b,42825.73958,10.57,25.15
A,b,42825.75,10.48,25.1
A,b,42825.76042,10.28,25.11
A,b,42825.77083,10.08,25.1
A,b,42825.78125,9.89,25.15
A,b,42825.79167,9.69,25.29
A,b,42825.80208,9.66,25.32
A,b,42825.8125,9.59,25.35
A,b,42825.82292,9.49,25.44
A,b,42825.83333,9.46,25.44
A,b,42825.84375,9.36,25.49
A,b,42825.85417,9.33,25.5
A,b,42825.86458,9.29,25.54
A,b,42825.875,9.29,25.52
A,b,42825.88542,9.26,25.57
A,b,42825.89583,9.23,25.59
A,b,42825.90625,9.23,25.59
A,b,42825.91667,9.23,25.59
A,b,42825.92708,9.23,25.59
A,b,42825.9375,9.23,25.62
A,b,42825.94792,9.23,25.62
A,b,42825.95833,9.23,25.62
A,b,42825.96875,9.23,25.59
A,b,42825.97917,9.19,25.62
A,b,42825.98958,9.19,25.64
A,b,42826,9.19,25.6
A,b,42826.01042,9.19,25.6
A,b,42826.02083,9.16,25.62
A,b,42826.03125,9.16,25.6
A,b,42826.04167,9.16,25.6
A,b,42826.05208,9.19,25.62
A,b,42826.0625,9.23,25.66
A,b,42826.07292,9.26,25.66
A,b,42826.08333,9.26,25.75
A,b,42826.09375,9.19,25.82
A,b,42826.10417,9.19,25.89
A,b,42826.11458,9.16,25.94
A,b,42826.125,9.13,25.94
A,b,42826.13542,9.03,25.88
A,b,42826.14583,8.99,25.84
A,b,42826.15625,8.99,25.84
A,b,42826.16667,8.96,25.86
A,b,42826.17708,8.96,25.91
A,b,42826.1875,8.96,25.98
A,b,42826.19792,8.99,25.95
A,b,42826.20833,8.99,25.98
A,b,42826.21875,8.99,25.93
A,b,42826.22917,8.99,26
A,b,42826.23958,8.99,25.98
A,b,42826.25,8.99,25.98
A,b,42826.26042,8.99,25.98
A,b,42826.27083,8.99,25.98
A,b,42826.28125,8.99,25.95
A,b,42826.29167,9.03,26.11
A,b,42826.30208,8.96,26.28
A,b,42826.3125,8.93,26.31
A,b,42826.32292,8.89,26.33
A,b,42826.33333,8.83,26.36
A,b,42826.34375,8.83,26.34
A,b,42826.35417,8.83,26.34
A,b,42826.36458,8.83,26.34
A,b,42826.375,8.86,26.33
A,b,42826.38542,8.89,26.36
A,b,42826.39583,8.96,26.33
A,b,42826.40625,8.99,26.35
A,b,42826.41667,9.06,26.3
A,b,42826.42708,9.03,26.35
A,b,42826.4375,9.09,26.32
A,b,42826.44792,9.09,26.32
A,b,42826.45833,9.13,26.32
A,b,42826.46875,9.19,26.29
