site,b_r,temp_av,sal_av,av_dmax_t,av_dmin_t,av_dmin_s,tot_dh_t,tot_dh_s,month
A,b,10.30276619508563,22.780595924644366,13.341724137931035,9.488965517241379,13.236896551724138,0,515.4375,2
A,r,9.261460136254833,25.072064902453157,9.97642857142857,8.720535714285715,23.684464285714284,0,0.5724999999999998,2
B,b,9.514811637448712,23.02324132786274,13.056206896551725,8.33,5.073103448275862,0,1382.6775,2
B,r,8.893441461595824,25.98127143922446,9.44551724137931,8.59,25.208965517241378,0,0,2
C,b,11.416775042285284,22.496198960653302,10.768666666666666,7.995333333333333,13.947333333333333,0,326.15250000000003,2
C,r,9.311953765846383,25.193340790454883,9.817931034482758,8.982413793103449,24.659655172413792,0,0,2
D,b,10.875624161073825,22.230276550797004,14.054181818181817,9.423818181818183,13.398363636363635,2.7625,1301.5225,2
D,r,10.438113423715867,23.102818407485202,11.700545454545454,9.581818181818182,21.987272727272728,0,1.794999999999999,2
E,b,10.635775862068966,19.96346046275108,14.022,9.766666666666667,9.605333333333332,4.322500000000001,1768.8825000000002,2
E,r,10.409219138755981,21.455129668049793,11.928604651162791,10.033488372093023,19.3746511627907,0,315.57000000000005,2
A,b,17.794487391484083,20.568924889543446,23.561176470588236,15.319803921568628,12.809607843137256,22.249999999999996,1236.6675000000002,4
A,r,13.694927721088435,23.658633078231293,15.1298,11.7902,22.9958,0,0,4
B,b,15.425374176037224,18.381213648701046,21.28107142857143,13.330714285714286,3.1607142857142856,0.24249999999999972,2032.8800000000003,4
B,r,16.07369947089947,23.187314285714287,17.0606,14.972,22.645,0,0,4
C,b,17.257209742255853,20.82775777834919,23.73951219512195,15.009268292682927,8.318536585365853,64.02,1769.9950000000001,4
C,r,16.38002427184466,22.351361256544504,17.39734693877551,15.271224489795918,21.817755102040817,0,14.347499999999997,4
D,b,17.275475796930344,21.166141676505312,24.415555555555557,14.46711111111111,8.518444444444444,97.8475,1663.6250000000002,4
D,r,16.50062960323117,22.012049022307902,18.189230769230768,14.86948717948718,21.576410256410256,0,13.5625,4
E,b,17.061851239669423,19.791367215461705,26.116,14.442222222222222,7.900222222222222,197.0825,1827.65,4
E,r,16.16505548996458,22.90229043683589,17.89622222222222,14.584888888888889,22.400444444444446,0,0,4
A,b,18.97649908592322,23.645865703689246,23.92888888888889,16.79574074074074,11.895185185185186,19.130000000000003,912.2874999999999,6
A,r,14.512101316752013,24.92943832599119,16.01105263157895,12.751754385964912,24.3540350877193,0,0,6
B,b,18.36145584725537,21.215596658711217,24.55981132075472,15.170943396226415,2.6949056603773585,23.885000000000005,3408.8575000000005,6
B,r,17.416750777107332,24.462216127262753,18.639122807017543,16.17017543859649,24.138947368421054,0,0,6
C,b,17.43699506488759,20.948674830926706,21.749473684210525,14.995438596491228,8.882631578947368,2.9875,2089.125,6
C,r,17.014964357521478,22.3757419538593,17.846052631578946,15.590263157894737,21.685526315789474,0,30.464999999999996,6
D,b,17.36895997075489,21.251136733586545,20.500217391304346,16.06195652173913,15.268260869565218,0.002500000000000391,1190.6175000000003,6
D,r,16.238687057068258,23.912752704214846,18.060689655172414,14.726206896551725,23.714827586206898,0,0,6
E,b,16.86761652348748,21.10586443825441,21.982456140350877,14.411052631578947,9.523157894736842,17.2625,1887.8675,6
E,r,16.550576079005122,22.825521214337968,18.574210526315788,14.517368421052632,22.38421052631579,0,6.015000000000004,6
A,b,12.581932397959184,25.49192389455782,13.634285714285713,10.537551020408163,16.326326530612246,0,919.8675000000001,8
A,r,11.851518502764781,26.241739685240322,12.34142857142857,11.239183673469388,25.591224489795916,0,0,8
B,b,12.018847544120774,21.787550499681053,14.820204081632653,8.874693877551021,1.4122448979591837,0,3121.75,8
B,r,12.200293429725708,26.672163993675174,12.508510638297873,11.624255319148936,26.108510638297872,0,0,8
C,b,12.03937925170068,22.149732068099357,12.910444444444444,10.415777777777778,12.457555555555555,0,1329.6425000000002,8
C,r,14.256521739130434,22.496304347826086,14.565000000000001,13.870000000000001,22.035,0,0,8
D,b,12.182053571428572,24.149887508788375,13.042173913043479,10.663695652173914,15.84086956521739,0,679.8525,8
D,r,12.27369338719966,24.740484796938123,12.731632653061224,11.77469387755102,24.49204081632653,0,0,8
E,b,12.244302721088435,23.31439200680272,13.051428571428572,10.584897959183673,14.468367346938775,0,879.79,8
E,r,12.564013402829486,25.3701067262348,13.213488372093023,12,25.175348837209302,0,0,8
A,b,7.569742197117821,21.246467521181838,8.575902777777777,4.763888888888889,7.8000694444444445,0,6162.08,12
A,r,8.42102208748376,23.096283383860257,8.662965517241378,8.046344827586207,20.98889655172414,0,297.735,12
B,b,7.307159304851557,21.236128938579935,8.789861111111112,3.1479166666666667,1.2103472222222222,0,10928.725,12
B,r,7.76485076810534,25.787356254572057,8.265454545454546,7.10006993006993,24.033496503496504,0,84.045,12
C,b,7.0728443244820545,21.728959855512684,7.754744525547445,4.357810218978102,7.427080291970803,0,5572.725,12
C,r,7.246134051466188,25.681160981448233,7.618214285714286,6.833571428571428,25.04357142857143,0,0,12
D,b,7.902491369812706,23.650565552699227,8.720211267605634,5.16225352112676,9.99894366197183,0,4614.795,12
D,r,8.04991248713046,22.913863803500515,8.580070422535211,7.414929577464789,21.62387323943662,0,266.6675,12
E,b,7.79636510619534,21.86214364967823,8.552323943661971,4.893169014084507,7.61443661971831,0,5232.72,12
E,r,7.965634383279364,22.228913011480717,8.544859154929577,7.216478873239437,20.662183098591548,0,559.2,12
