site	b_r	temp_av	temp_se	sal_av	sal_se	av_dmax_t	dmax_sd	av_dmin_t	dmin_tse	av_dmin_s	dmin_sse	tot_dh_t	tot_dh_s	month
A	b	17.7944873914841	3.42464961571755	20.5540781096529	4.8887823388213	23.5611764705882	5.18996441107598	15.3198039215686	1.78689170370907	12.8096078431373	10.4431696262743	22.25	1244.80919319862	4
A	r	13.6949277210884	1.59577790368446	23.6586330782313	1.09213169027135	15.1298	1.60271897800238	11.7902	1.00651852989421	22.9958	1.08708201444162	0	0	4
B	b	15.4253741760372	3.0462206368411	18.381213648701	7.81797336683236	21.2810714285714	4.90774092956689	13.3307142857143	1.66646871840368	3.16071428571429	7.88930590223548	0.2425	2032.88	4
B	r	16.0736994708995	2.34237767622554	23.1873142857143	1.32460931711589	17.0606	2.4441654057392	14.972	2.28002237726219	22.645	1.32838132280438	0	0	4
C	b	17.2572097422559	3.3206904436366	19.2236206459433	8.38579088638969	24.0851111111111	6.78272760306455	14.7911111111111	1.72244306176143	7.6305161588227	10.8080115536737	68.245	3395.60957207649	4
C	r	16.3800242718447	1.63916131214099	22.2308652473066	1.20750198503556	17.7213461538462	2.66775445620701	15.3015384615385	1.61145213359996	21.7401097309936	1.34054820845273	1.0525	14.3475	4
D	b	17.2754757969303	3.52789620838334	21.1661416765053	6.23948219881676	24.4155555555556	7.26018267850421	14.4671111111111	1.35850623550987	8.51844444444444	11.0580176498066	97.8475	1663.625	4
D	r	16.5006296032312	1.87690728288922	21.8425873129009	1.13407461548267	17.9857777777778	1.99692887942835	14.8235555555556	1.42733565453507	21.4730436953808	1.1978905304315	0	41.9148408239696	4
E	b	17.0618512396694	4.0763152108521	19.5858746817257	6.43081272329669	26.116	9.17887455965154	14.4422222222222	1.07016755036704	7.90022222222222	10.2498078671325	197.0825	2047.51018072289	4
E	r	16.1650554899646	1.5881540296844	22.9022904368359	0.672491434177222	17.8962222222222	1.96318304718833	14.5848888888889	1.07262766187065	22.4004444444444	0.680424184393141	0	0	4
