outplant_time,site,b_r,bag,oyster_number,dish_mass,wet_mass,length,whole_dry,dry_tissue,picture_order,picture_number,area,,
24.28571429,B,b,5,10,2.4463,8.9645,43.16,6.3247,2.5711,1,10448,722.306,,
24.28571429,B,b,5,9,2.4703,12.2495,52.36,8.3067,2.7022,2,10449,751.959,,
24.28571429,B,b,5,8,2.4321,17.4229,60.27,11.2924,2.8512,3,10450,1542.997,,
24.28571429,B,b,5,7,2.4149,4.5197,28.95,3.8109,2.4457,4,10451,345.949,,
24.28571429,B,b,5,6,2.4465,5.0847,33.56,4.231,2.4986,5,10453,338.07,,
24.28571429,B,b,5,5,2.4446,6.7049,36.96,5.2462,2.5195,6,10454,484.742,,
24.28571429,B,b,5,4,2.4413,15.0063,51.36,9.5682,2.6723,7,10455,956.993,,
24.28571429,B,b,5,3,2.4875,9.3412,47.53,6.4085,2.5759,8,10456,854.631,,
24.28571429,B,b,5,2,2.4034,12.0446,59.64,7.471,2.574,9,10457,1037.1,,
24.28571429,B,b,5,1,2.4623,18.7526,59.48,12.1358,2.7553,10,10458,1136.85,,
24.28571429,B,b,4,10,2.4667,15.1215,52.9,7.0736,2.6669,11,10459,1265.327,,
24.28571429,B,b,4,9,2.4693,11.4142,53.16,10.9543,2.9854,12,10460,867.713,,
24.28571429,B,b,4,8,2.4955,17.0438,57.81,8.0196,2.6733,13,10461,1257.526,,
24.28571429,B,b,4,7,2.4499,12.1509,50.48,9.2222,2.6686,14,10462,1132.426,,
24.28571429,B,b,4,6,2.475,14.5678,59.55,11.3116,2.784,15,10463,890.092,,
24.28571429,B,b,4,5,2.4654,18.0465,63.23,7.0744,2.5808,16,10464,1498.002,,
24.28571429,B,b,4,4,2.4474,10.7411,44.17,7.7102,2.6593,17,10465,751.345,,
24.28571429,B,b,4,3,2.4304,11.7058,51.39,10.0448,2.884,18,10466,1046.383,,
24.28571429,B,b,4,2,2.4519,15.244,55.5,9.5695,2.7445,19,10467,1226.67,,
24.28571429,B,b,4,1,2.4574,16.6791,59.18,10.2741,2.6999,20,10468,1014.656,,
24.28571429,B,b,3,10,2.3851,20.9015,57.49,13.2159,2.9707,21,10469,1762.583,,
24.28571429,B,b,3,9,2.4462,23.2981,66.86,14.1596,3.204,22,10470,1739.5,,
24.28571429,B,b,3,8,2.411,20.6437,67.35,13.2319,2.9079,23,10471,1335.523,,
24.28571429,B,b,3,7,2.3988,19.7875,67.38,12.8242,2.9129,24,10472,1387.846,,
24.28571429,B,b,3,6,2.4349,21.5806,58.37,13.3018,2.8787,25,10473,1497.995,,
24.28571429,B,b,3,5,2.4511,16.4485,57.04,9.7561,2.8612,26,10474,1168.727,,
24.28571429,B,b,3,3,2.4649,7.9137,42.53,5.6752,2.5759,27,10475,1408.558,,
24.28571429,B,b,3,2,2.4999,15.5504,55.94,10.5727,2.7297,28,10476,1308.031,,
24.28571429,B,b,3,4,2.4287,17.8325,56.92,11.6803,2.8251,29,10477,1430.579,,
24.28571429,B,b,3,1,2.4913,15.7523,47.56,10.6147,2.8572,30,10478,964.804,,
24.28571429,B,b,2,10,2.4613,10.942,47.77,7.1169,2.634,31,10479,946.47,,
24.28571429,B,b,2,9,2.4795,12.6745,55.21,8.3185,2.6571,32,10480,1004.672,,
24.28571429,B,b,2,8,2.4798,7.2016,37.24,5.1826,2.6045,33,10481,546.326,,
24.28571429,B,b,2,7,2.4749,10.5106,49.32,6.8449,2.6839,34,10482,962.519,,
24.28571429,B,b,2,6,2.4799,7.184,40.25,5.1403,2.5553,35,10483,545.479,,
24.28571429,B,b,2,5,2.4453,7.1244,45.98,4.8971,2.5495,36,10484,700.103,,
24.28571429,B,b,2,4,2.4475,12.5775,52.64,8.4564,2.6562,37,10485,942.198,,
24.28571429,B,b,2,3,2.4786,10.0615,44.46,6.4731,2.6258,38,10486,705.621,,
24.28571429,B,b,2,2,2.438,10.5378,44.17,6.7041,2.5611,39,10487,681.521,,
24.28571429,B,b,2,1,2.497,16.9432,57.81,10.9573,2.9073,40,10488,1225.301,,
24.28571429,B,b,1,10,2.4992,15.3455,51.35,9.9517,2.8193,41,10489,637.434,,
24.28571429,B,b,1,9,2.4756,8.0335,43.2,5.7199,2.5813,42,10490,647.676,,
24.28571429,B,b,1,8,2.4585,10.9526,48.5,7.2176,2.6488,43,10491,875.188,,
24.28571429,B,b,1,7,2.451,5.3966,32.3,4.2662,2.505,44,10492,232.479,,
24.28571429,B,b,1,6,2.4583,9.9361,43.74,6.7566,2.6317,45,10493,830.388,,
24.28571429,B,b,1,5,2.4548,7.0373,36.36,4.8918,2.5612,46,10494,522.652,,
24.28571429,B,b,1,4,2.504,8.2318,40.66,5.8262,2.5838,47,10495,528.56,,
24.28571429,B,b,1,3,2.462,12.5988,57.27,7.8228,2.6805,48,10496,968.046,,
24.28571429,B,b,1,2,2.4722,15.4841,59.61,9.0437,2.8003,49,10497,1143.604,,
24.28571429,B,b,1,1,2.4552,14.5763,56.25,9.6213,2.7995,50,10498,1166.201,,
24.14285714,A,b,5,10,2.4716,10.9847,46.36,7.3746,2.6794,51,10500,939.156,,
24.14285714,A,b,5,9,2.4484,9.3758,51.31,6.031,2.5711,52,10501,933.289,,
24.14285714,A,b,5,8,2.4341,9.4384,44.33,6.4649,2.5585,53,10502,867.487,,
24.14285714,A,b,5,7,2.4327,11.4192,42.14,6.7551,2.5934,54,10503,897.096,,
24.14285714,A,b,5,6,2.4528,9.6753,48.66,6.4208,2.6159,55,10504,728.229,,
24.14285714,A,b,5,5,2.4543,8.4989,44.55,5.7073,2.5944,56,10505,598.35,,
24.14285714,A,b,5,4,2.4509,8.5824,41.77,5.6609,2.5645,57,10506,571.632,,
24.14285714,A,b,5,3,2.4623,4.9939,30.25,3.9949,2.5087,58,10507,360.701,,
24.14285714,A,b,5,2,2.4437,5.6394,33.14,4.4071,2.5127,59,10508,390.191,,
24.14285714,A,b,5,1,2.4376,4.3061,30.5,3.541,2.4639,60,10509,255.629,,
24.14285714,A,b,4,10,2.4884,10.792,47.19,7.1407,2.6734,61,10510,1004.495,,
24.14285714,A,b,4,9,2.4553,14.7848,44.35,8.6872,2.742,62,10511,1242.158,,
24.14285714,A,b,4,8,2.4414,12.0982,52.79,7.7508,2.6048,63,10512,1023.512,,
24.14285714,A,b,4,7,2.4571,15.5224,54.78,9.1044,2.6774,64,10513,1165.767,,
24.14285714,A,b,4,6,2.449,13.7925,48.9,9.0571,2.7024,65,10514,906.12,,
24.14285714,A,b,4,5,2.4379,6.2668,36.86,4.6701,2.5124,66,10515,484.256,,
24.14285714,A,b,4,4,2.4645,9.245,50.95,6.2464,2.588,67,10516,712.799,,
24.14285714,A,b,4,3,2.4538,9.0353,42.39,6.1693,2.5746,68,10517,709.945,,
24.14285714,A,b,4,2,2.4138,8.7511,47.05,6.3711,2.5156,69,10518,718.724,,
24.14285714,A,b,4,1,2.4744,7.1481,41.06,5.163,2.5691,70,10519,514.34,,
24.14285714,A,b,3,10,2.4542,11.341,50.42,7.6305,2.6649,71,10520,1017.108,,
24.14285714,A,b,3,9,2.4509,13.2887,49.28,8.6446,2.6497,72,10521,1045.815,,
24.14285714,A,b,3,8,2.4547,16.0004,50.1,10.4052,2.799,73,10522,1202.908,,
24.14285714,A,b,3,7,2.4611,11.1365,47.05,7.8196,2.6304,74,10523,1003.971,,
24.14285714,A,b,3,6,2.4672,8.2429,42.34,6.3712,2.5777,75,10524,702.992,,
24.14285714,A,b,3,5,2.4365,9.3029,45.72,6.9023,2.6247,76,10525,778.288,,
24.14285714,A,b,3,4,2.487,7.7688,41.93,5.7166,2.5994,77,10526,608.754,,
24.14285714,A,b,3,3,2.4591,8.2876,40.46,6.1176,2.5742,78,10527,648.526,,
24.14285714,A,b,3,2,2.4716,5.864,31.82,4.5396,2.5305,79,10528,445.962,,
24.14285714,A,b,3,1,2.4552,5.1788,34.95,4.1394,2.5308,80,10529,443.728,,
24.14285714,A,b,2,10,2.4401,20.5394,61.32,12.3836,3.0082,81,10530,1032.579,,
24.14285714,A,b,2,9,2.4504,14.334,57.44,8.9331,2.719,82,10531,1394.538,,
24.14285714,A,b,2,8,2.4633,17.8865,56.92,10.6607,2.882,83,10532,1493.795,,
24.14285714,A,b,2,7,2.4717,13.2622,55.76,8.637,2.6721,84,10533,865.723,,
24.14285714,A,b,2,6,2.4688,14.6405,52.41,10.0155,2.7455,85,10534,1000.631,,
24.14285714,A,b,2,5,2.446,9.9897,46.41,6.9802,2.5555,86,10535,596.976,,
24.14285714,A,b,2,4,2.4301,8.1061,38.1,5.9103,2.5181,87,10536,543.799,,
24.14285714,A,b,2,3,2.4555,6.3821,35.94,4.9964,2.5429,88,10537,472.073,,
24.14285714,A,b,2,2,2.4218,6.8812,41.71,5.2848,2.4846,89,10538,534.546,,
24.14285714,A,b,2,1,2.4406,6.5834,37.69,5.1424,2.5121,90,10539,607.632,,
24.14285714,A,b,1,10,2.4419,15.8776,58.26,10.455,2.7011,91,10540,1245.365,,
24.14285714,A,b,1,9,2.4326,16.9699,62.38,10.0705,2.8513,92,10541,1547.796,,
24.14285714,A,b,1,8,2.4329,25.5164,73.41,13.8726,3.2963,93,10542,1527.687,,
24.14285714,A,b,1,7,2.4555,20.1536,58.86,13.2765,2.9595,94,10543,1198.156,,
24.14285714,A,b,1,6,2.4449,15.7905,59.33,9.72,2.6881,95,10544,1138.179,,
24.14285714,A,b,1,5,2.4614,14.5081,54.15,9.1929,2.7055,96,10545,906.132,,
24.14285714,A,b,1,4,2.4304,10.2169,46.33,6.8465,2.6129,97,10546,881.559,,
24.14285714,A,b,1,3,2.453,10.0336,46.69,6.3782,2.6494,98,10547,853.731,,
24.14285714,A,b,1,2,2.4656,6.1292,36.4,4.611,2.5293,99,10548,533.394,,
24.14285714,A,b,1,1,2.4395,4.763,25.52,3.8237,2.4841,100,10549,366.69,,
24.14285714,C,b,5,10,2.4544,11.263,50.39,7.4674,2.677,101,10551,966.774,,
24.14285714,C,b,5,9,2.4552,5.0288,31.21,3.8862,2.5165,102,10552,361.832,,
24.14285714,C,b,5,8,2.5149,10.94,49.48,7.51,2.6701,103,10553,921.144,,
24.14285714,C,b,5,7,2.4967,5.1891,34.13,4.1949,2.5438,104,10554,442.247,,
24.14285714,C,b,5,6,2.5118,11.8445,56.42,7.2168,2.6888,105,10555,1169.899,,
24.14285714,C,b,5,5,2.5053,16.0327,65.09,12.0192,2.8751,106,10556,1432.84,,
24.14285714,C,b,5,4,2.4604,17.614,63.05,10.3741,2.8178,108,10557,1868.282,,
24.14285714,C,b,5,3,2.4509,22.3391,73.02,13.7921,2.8942,109,10558,1305.27,,
24.14285714,C,b,5,2,2.4686,8.7207,47.21,6.3366,2.5812,110,10559,714.115,,
24.14285714,C,b,5,1,2.482,13.9555,59.09,8.4292,2.8035,111,10560,1300.848,,
24.14285714,C,b,4,10,2.4815,16.668,58.13,10.0793,2.8135,112,10561,1497.255,,
24.14285714,C,b,4,9,2.4638,15.6987,49.1,8.8673,2.7379,113,10562,948.357,,
24.14285714,C,b,4,8,2.4617,5.1197,28.72,4.1442,2.5026,114,10563,375.455,,
24.14285714,C,b,4,7,2.4557,7.6864,43.05,5.261,2.5439,115,10564,680.236,,
24.14285714,C,b,4,6,2.4851,14.562,48.06,9.0493,2.7408,116,10565,1257.712,,
24.14285714,C,b,4,5,2.4772,16.4789,54.71,10.2215,2.7193,117,10566,1197.823,,
24.14285714,C,b,4,4,2.4591,7.784,39.35,5.6887,2.5478,118,10567,673.471,,
24.14285714,C,b,4,3,2.4913,6.7138,37.39,4.7468,2.5894,119,10568,479.403,,
24.14285714,C,b,4,2,2.4574,10.227,40.65,7.4333,2.6197,120,10569,1083.497,,
24.14285714,C,b,4,1,2.4666,16.8085,62.33,10.1643,2.6665,121,10570,1531.21,,
24.14285714,C,b,3,10,2.4532,20.5912,63.63,13.7334,3.2581,122,10571,1480.625,,
24.14285714,C,b,3,9,2.4637,25.1473,63.05,13.5191,3.146,123,10573,1692.228,,
24.14285714,C,b,3,8,2.4687,22.5657,66.27,14.6856,3.1409,124,10574,1951.608,,
24.14285714,C,b,3,7,2.4683,11.558,47.66,7.7769,2.6713,125,10575,842.475,,
24.14285714,C,b,3,6,2.4829,23.8571,67.81,13.5926,3.0908,126,10576,1738.673,,
24.14285714,C,b,3,5,2.4139,20.9242,67.36,12.8727,2.8849,127,10577,1547.097,,
24.14285714,C,b,3,4,2.4158,15.2234,57.21,9.2188,2.6402,128,10578,980.616,,
24.14285714,C,b,3,3,2.4381,6.6995,32.36,4.802,2.5426,129,10579,497.207,,
24.14285714,C,b,3,2,2.4514,10.2541,53.96,7.8928,2.7727,130,10581,921.893,,
24.14285714,C,b,3,1,2.4476,25.3592,70.99,14.592,3.2278,131,10582,1774.14,,
24.14285714,C,b,2,10,2.4595,28.3811,77.5,15.2598,3.1236,132,10583,1967.881,,
24.14285714,C,b,2,9,2.4399,28.4895,90.71,15.7271,3.0591,133,10584,2402.609,,
24.14285714,C,b,2,8,2.4241,27.6458,85.73,18.7616,3.6387,134,10585,2604.105,,
24.14285714,C,b,2,7,2.4673,32.2539,90.29,17.5633,3.3505,135,10586,2875.65,,
24.14285714,C,b,2,6,2.4647,9.9436,49.93,7.1152,2.6047,136,10587,945.604,,
24.14285714,C,b,2,5,2.4754,7.4186,45.3,5.4381,2.5966,137,10588,591.86,,
24.14285714,C,b,2,4,2.4456,10.0518,52.6,7.0155,2.7132,138,10589,1053.279,,
24.14285714,C,b,2,3,2.4552,7.031,40.32,4.9202,2.544,139,10590,440.229,,
24.14285714,C,b,2,2,2.4878,23.2218,69.6,12.6754,3.0876,140,10591,1353.341,,
24.14285714,C,b,2,1,2.476,32.803,80.83,18.4391,3.3622,141,10592,2347.654,,
24.14285714,C,b,1,10,2.4959,25.7845,56.24,15.7349,3.5245,142,10593,1759.731,,
24.14285714,C,b,1,9,2.422,14.9011,59.6,10.094,2.7572,143,10594,1364.729,,
24.14285714,C,b,1,8,2.4942,11.608,51.68,7.1314,2.6433,144,10595,830.28,,
24.14285714,C,b,1,7,2.4763,7.8426,42.99,5.4644,2.5929,145,10596,496.158,,
24.14285714,C,b,1,6,2.4577,15.3358,57.42,9.9412,2.832,146,10597,1014.59,,
24.14285714,C,b,1,5,2.4496,18.5236,59.04,10.3578,2.87,147,10598,1289.59,,
24.14285714,C,b,1,4,2.4454,16.1055,61.92,10.0418,2.776,148,10599,989.477,,
24.14285714,C,b,1,3,2.4774,24.5581,72.85,15.6041,3.4858,149,10600,2055.665,,
24.14285714,C,b,1,2,2.4417,12.8865,50.91,8.0931,2.6394,150,10601,837.038,,
24.14285714,C,b,1,1,2.4668,13.0423,59.03,9.3193,2.8114,151,10602,1066.315,,
24.14285714,B,r,5,10,2.4818,57.3753,85.47,25.5046,5.6778,152,10604,1491.405,,
24.14285714,B,r,5,9,2.4462,45.44,79.11,26.9326,5.9524,153,10605,2623.933,,
24.14285714,B,r,5,8,2.3803,28.1356,62.92,18.6162,4.3829,154,10606,1848.808,,
24.14285714,B,r,5,7,2.3817,39.8424,85.37,23.0056,4.6622,155,10607,1242.557,,
24.14285714,B,r,5,6,2.4011,24.4537,52,15.0703,3.8832,156,10608,1995.302,,
24.14285714,B,r,5,5,2.424,41.584,59,23.0766,4.9717,157,10609,2639.158,,
24.14285714,B,r,5,4,2.4141,30.034,53.77,16.4417,4.0053,158,10610,1307.412,,
24.14285714,B,r,5,3,2.4479,27.5439,68.24,16.7663,4.5496,159,10611,3185.614,,
24.14285714,B,r,5,2,2.4551,21.562,53.6,14.4708,3.6546,160,10612,1067.255,,
24.14285714,B,r,5,1,2.4454,17.9,43.62,11.3482,3.2764,161,10613,1748.742,,
24.14285714,B,r,4,10,2.4756,29.9671,66.61,18.5854,4.3727,162,10614,1316.909,,
24.14285714,B,r,4,9,2.4813,36.4301,60.9,20.477,4.8229,163,10615,1898.652,,
24.14285714,B,r,4,8,2.4542,19.3335,56.18,12.0471,3.4932,164,10616,1623.267,,
24.14285714,B,r,4,7,2.4446,21.1763,43.98,11.9966,3.3277,165,10617,1377.749,,
24.14285714,B,r,4,6,2.4417,15.7507,59.8,11.5086,3.045,166,10618,1693.451,,
24.14285714,B,r,4,4,2.4356,29.9351,62.74,16.3696,4.1796,167,10619,1827.607,,
24.14285714,B,r,4,3,2.4308,25.9502,66.87,15.9416,4.1337,168,10620,2221.816,,
24.14285714,B,r,4,2,2.4204,23.0401,64.05,14.9785,4.2187,169,10621,2106.453,,
24.14285714,B,r,4,1,2.4419,12.3018,47.38,8.2092,2.9308,170,10622,2352.135,,
24.14285714,B,r,3,9,2.4034,32.814,67.27,18.3353,4.3374,171,10623,2992.297,,
24.14285714,B,r,3,8,2.4808,23.5389,55.41,14.429,3.6707,172,10624,1499.02,,
24.14285714,B,r,3,7,2.4611,21.9609,61,11.0775,3.4392,173,10625,1312.382,,
24.14285714,B,r,3,6,2.4531,26.7687,69.66,16.4209,4.1738,174,10626,2374.079,,
24.14285714,B,r,3,5,2.4397,26.8368,63.67,17.3066,4.073,175,10627,2797.761,,
24.14285714,B,r,3,4,2.4633,39.8101,83.67,21.7235,4.778,176,10628,1932.487,,
24.14285714,B,r,3,3,2.4397,30.2995,69.74,18.9624,4.3762,177,10629,1957.55,,
24.14285714,B,r,3,2,2.4787,22.2824,70.3,13.7111,3.3795,178,10630,1649.187,,
24.14285714,B,r,3,1,2.4727,24.6047,56.52,14.422,3.792,179,10631,1757.556,,
24.14285714,B,r,2,10,2.465,54.3977,90.52,27.8013,5.9192,180,10632,1897.268,,
24.14285714,B,r,2,9,2.4965,44.549,80.63,24.7554,4.6919,181,10633,1039.046,,
24.14285714,B,r,2,8,2.43,34.3445,81.23,19.6338,4.8684,182,10634,1660.71,,
24.14285714,B,r,2,7,2.4343,28.5935,70.23,15.9676,3.5714,183,10635,1562.829,,
24.14285714,B,r,2,6,2.4467,30.2662,66.46,16.5153,3.869,184,10636,1825.007,,
24.14285714,B,r,2,5,2.414,18.7978,65.62,12.4421,3.6785,185,10637,1608.185,,
24.14285714,B,r,2,4,2.4892,18.5862,57.28,11.1213,3.2762,186,10638,1598.076,,
24.14285714,B,r,2,3,2.4794,19.2428,52.4,11.1017,3.4752,187,10639,984.557,,
24.14285714,B,r,2,2,2.4438,22.5271,67.43,13.2535,3.5402,188,10640,2010.798,,
24.14285714,B,r,2,1,2.4281,18.2889,55.41,11.9356,3.4037,189,10641,1602.185,,
24.14285714,B,r,1,10,2.4492,24.0438,65.62,15.1049,3.9702,190,10642,1053.877,,
24.14285714,B,r,1,9,2.4368,13.4744,43.41,9.5022,3.065,191,10643,1828.119,,
24.14285714,B,r,1,8,2.4416,50.9308,84.25,26.4213,5.01,192,10644,1179.464,,
24.14285714,B,r,1,7,2.485,24.0743,54.94,12.7351,3.9644,193,10645,1838.958,,
24.14285714,B,r,1,6,2.4638,36.9763,80.01,20.1348,4.7699,194,10646,2095.779,,
24.14285714,B,r,1,5,2.4757,33.1786,67.74,16.2285,3.9979,195,10647,1434.356,,
24.14285714,B,r,1,4,2.4413,23.7329,58.67,13.8978,3.5017,196,10648,2673.637,,
24.14285714,B,r,1,3,2.4449,35.8249,75.92,17.2557,3.9128,197,10649,1599.236,,
24.14285714,B,r,1,2,2.4737,29.278,72.06,15.9824,4.2665,198,10650,2712.72,,
24.14285714,B,r,1,1,2.4625,28.2352,63.65,17.4793,4.3692,199,10651,2973.874,,
24.57142857,A,r,5,10,2.4402,17.6936,53.07,11.0802,3.3295,200,10653,883.066,,
24.57142857,A,r,5,9,2.4154,32.0516,83.46,17.1253,4.0168,201,10654,1918.404,,
24.57142857,A,r,5,8,2.4576,25.2309,63.89,15.1541,4.0094,202,10655,1870.588,,
24.57142857,A,r,5,7,2.4614,8.7559,48.79,6.253,2.713,203,10656,588.302,,
24.57142857,A,r,5,6,2.44,19.9599,57.56,11.9925,3.3518,204,10657,1446.637,,
24.57142857,A,r,5,4,2.4457,26.243,77.57,14.5386,3.8636,205,10659,2104.782,,
24.57142857,A,r,5,3,2.4561,6.7814,34.95,5.0421,2.6379,206,10660,642.513,,
24.57142857,A,r,5,2,2.4554,14.8767,49.06,9.4666,2.9141,207,10661,943.088,,
24.57142857,A,r,5,1,2.4763,18.8724,69.08,12.0052,3.5708,208,10662,1649.54,,
24.57142857,A,r,4,10,2.4331,21.7968,66.48,13.436,3.561,209,10663,1728.087,,
24.57142857,A,r,4,9,2.4495,13.303,52.05,8.4205,3.0819,210,10664,1120.25,,
24.57142857,A,r,4,8,2.5037,12.3092,49.45,8.006,3.0356,211,10665,871.595,,
24.57142857,A,r,4,7,2.4222,9.2629,47.64,6.4111,2.6916,212,10666,2146.24,,
24.57142857,A,r,4,6,2.4694,32.317,76.18,18.1616,4.3156,213,10667,911.718,,
24.57142857,A,r,4,5,2.4552,15.0953,53.18,9.5847,3.0243,214,10668,1444.614,,
24.57142857,A,r,4,4,2.4408,20.1493,63.26,15.2443,3.6096,215,10669,1618.373,,
24.57142857,A,r,4,3,2.4329,26.7291,68.21,15.3144,3.5459,216,10670,1912.584,,
24.57142857,A,r,4,2,2.4318,24.3016,79.35,11.7602,3.3018,217,10671,1902.927,,
24.57142857,A,r,4,1,2.491,24.683,64.7,14.5501,3.6471,218,10672,1912.584,,
24.57142857,A,r,3,10,2.4578,27.6376,64.64,15.4654,4.0329,219,10673,1346.252,,
24.57142857,A,r,3,9,2.4812,16.6124,47.39,10.1841,3.2467,220,10674,1175.226,,
24.57142857,A,r,3,8,2.4512,15.5596,49.22,9.5194,3.2226,221,10675,970.692,,
24.57142857,A,r,3,7,2.455,27.6741,58.44,16.0722,3.853,222,10676,1782.556,,
24.57142857,A,r,3,6,2.4713,13.4549,44.17,8.6712,3.1014,223,10677,1143.776,,
24.57142857,A,r,3,5,2.4433,25.8821,65.21,14.4067,3.4582,224,10678,1549.257,,
24.57142857,A,r,3,4,2.4641,17.2917,60.42,10.3868,3.2229,225,10679,1525.553,,
24.57142857,A,r,3,3,2.4908,29.4296,73.01,15.3896,3.9391,226,10680,1443.112,,
24.57142857,A,r,3,2,2.4954,26.1235,71.88,16.2685,3.9169,227,10681,1976.391,,
24.57142857,A,r,3,1,2.4844,19.8607,64.98,12.4054,3.421,228,10682,1274.821,,
24.57142857,A,r,2,10,2.4928,24.1482,65.75,15.1102,3.4394,229,10683,1807.999,,
24.57142857,A,r,2,9,2.4756,21.9883,57.52,13.3417,3.5406,230,10684,1308.349,,
24.57142857,A,r,2,8,2.4874,17.1925,51.28,10.6681,3.1112,231,10685,1195.974,,
24.57142857,A,r,2,7,2.4735,20.247,55.91,12.4023,3.3324,232,10686,1356.683,,
24.57142857,A,r,2,6,2.4704,14.6307,47.37,9.1983,3.1446,233,10687,1106.996,,
24.57142857,A,r,2,5,2.4864,15.1827,54.46,10.086,3.226,234,10688,1189.973,,
24.57142857,A,r,2,4,2.447,13.7759,39.63,8.98854,3.069,235,10689,840.784,,
24.57142857,A,r,2,3,2.4946,21.8138,63.4,13.3397,3.3908,236,10690,1734.883,,
24.57142857,A,r,2,2,2.4765,28.0898,68.9,17.4219,3.9406,237,10691,1922.24,,
24.57142857,A,r,2,1,2.4677,22.0521,57.29,13.6515,3.5617,238,10692,1149.861,,
24.57142857,A,r,1,10,2.4599,22.1518,59.1,13.5543,3.5712,239,10693,1202.949,,
24.57142857,A,r,1,9,2.4477,23.019,61.6,14.0203,3.5099,240,10694,1517.828,,
24.57142857,A,r,1,8,2.5661,19.2899,61.61,11.5702,3.2924,241,10695,1626.343,,
24.57142857,A,r,1,7,2.4361,18.8054,49.43,11.1163,3.171,242,10696,1332.219,,
24.57142857,A,r,1,6,2.4584,7.184,42.74,5.2905,2.6555,243,10697,678.355,,
24.57142857,A,r,1,5,2.4851,23.4607,68.39,14.3639,3.3572,244,10698,1613.054,,
24.57142857,A,r,1,4,2.53,18.6598,57.67,11.1911,3.1759,245,10699,1315.26,,
24.57142857,A,r,1,3,2.4977,32.4535,65.94,18.5468,4.4132,246,10700,1949.123,,
24.57142857,A,r,1,2,2.4965,15.9981,53.13,10.5634,3.1559,247,10701,899.875,,
24.57142857,A,r,1,1,2.4898,16.2632,48.6,10.2865,3.266,248,10702,1241.439,,
24.14285714,E,b,1,1,2.4905,17.1229,50.04,11.009,3.0767,249,10704,1831.741,,
24.14285714,E,b,1,2,2.4397,22.1069,59.93,14.024,3.3623,250,10705,1484.003,,
24.14285714,E,b,1,3,2.4241,22.0621,62.65,13.8702,3.5062,251,10707,1650.972,,
24.14285714,E,b,1,4,2.4857,16.6111,52.24,10.8086,3.2043,252,10708,1380.14,,
24.14285714,E,b,1,5,2.4965,21.5737,52.9,13.6675,3.5122,253,10709,1536.083,,
24.14285714,E,b,1,6,2.4382,17.3871,45.4,10.6549,2.995,254,10710,1581.618,,
24.14285714,E,b,1,7,2.4364,23.7784,72.84,13.8741,3.409,255,10711,1996.669,,
24.14285714,E,b,1,8,2.4516,20.7999,56.44,13.2781,3.3218,256,10712,1648.233,,
24.14285714,E,b,1,9,2.4664,26.5953,62.01,16.7108,3.7131,257,10713,2294.818,,
24.14285714,E,b,1,10,2.4447,24.2209,64.76,15.7013,3.6862,258,10714,1889.7,,
24.14285714,E,b,2,1,2.4459,12.4822,43.33,8.186,2.7666,259,10715,909.546,,
24.14285714,E,b,2,2,2.4653,16.5847,49.96,11.1828,3.1787,260,10716,1538.385,,
24.14285714,E,b,2,3,2.4465,12.0216,39.96,8.65,2.8628,261,10717,1002.166,,
