weeks,site,b_r,bag,total,dead,live,percent_dead
8.714285714,A,r,1,118,0,118,0
8.714285714,A,r,2,120,0,120,0
8.714285714,A,r,3,120,0,120,0
8.714285714,A,r,4,118,0,118,0
8.714285714,A,r,5,121,0,121,0
8.714285714,A,b,1,120,0,120,0
8.714285714,A,b,2,119,0,119,0
8.714285714,A,b,3,118,1,117,0.847457627
8.714285714,A,b,4,118,0,118,0
8.714285714,A,b,5,119,1,118,0.840336134
8.714285714,B,r,1,149,1,148,0.67114094
8.714285714,B,r,2,119,1,118,0.840336134
8.714285714,B,r,3,123,2,121,1.62601626
8.714285714,B,r,4,121,0,121,0
8.714285714,B,r,5,121,0,121,0
8.857142857,B,b,1,119,1,118,0.840336134
8.857142857,B,b,2,120,3,117,2.5
8.857142857,B,b,3,119,0,119,0
8.857142857,B,b,4,116,0,116,0
8.857142857,B,b,5,120,0,120,0
8.142857143,D,r,1,120,0,120,0
8.142857143,D,r,2,120,0,120,0
8.142857143,D,r,3,126,2,124,1.587301587
8.142857143,D,r,4,120,0,120,0
8.142857143,D,r,5,120,0,120,0
8.142857143,D,b,1,118,1,117,0.847457627
8.142857143,D,b,2,120,0,120,0
8.142857143,D,b,3,129,1,128,0.775193798
8.142857143,D,b,4,120,0,120,0
8.142857143,D,b,5,121,1,120,0.826446281
8.142857143,E,r,1,120,0,120,0
8.142857143,E,r,2,124,0,124,0
8.142857143,E,r,3,120,0,120,0
8.142857143,E,r,4,120,0,120,0
8.142857143,E,r,5,118,1,117,0.847457627
8.142857143,E,b,1,119,1,118,0.840336134
8.142857143,E,b,2,119,14,105,11.76470588
8.142857143,E,b,3,120,4,116,3.333333333
8.142857143,E,b,4,130,1,129,0.769230769
8.142857143,E,b,5,120,5,115,4.166666667
8.428571429,C,r,1,120,2,118,1.666666667
8.428571429,C,r,2,118,0,118,0
8.428571429,C,r,4,116,1,115,0.862068966
8.428571429,C,r,5,120,0,120,0
8.428571429,C,b,1,119,0,119,0
8.428571429,C,b,2,120,0,120,0
8.428571429,C,b,3,120,0,120,0
8.428571429,C,b,4,120,4,116,3.333333333
8.428571429,C,b,5,119,2,117,1.680672269
15.85714286,E,b,1,107,10,97,9.345794393
15.85714286,E,b,2,117,23,94,19.65811966
15.85714286,E,b,3,106,19,87,17.9245283
15.85714286,E,b,4,118,10,108,8.474576271
15.85714286,E,b,5,108,10,98,9.259259259
15.85714286,E,r,1,110,2,108,1.818181818
15.85714286,E,r,2,112,0,112,0
15.85714286,E,r,3,110,0,110,0
15.85714286,E,r,4,109,0,109,0
15.85714286,E,r,5,106,1,105,0.943396226
16.14285714,C,b,1,110,1,109,0.909090909
16.14285714,C,b,2,111,1,110,0.900900901
16.14285714,C,b,3,110,0,110,0
16.14285714,C,b,4,106,1,105,0.943396226
16.14285714,C,b,5,107,0,107,0
16.14285714,C,r,1,109,2,107,1.834862385
16.14285714,C,r,2,102,2,100,1.960784314
16.14285714,C,r,4,110,0,110,0
16.14285714,C,r,5,110,31,79,28.18181818
16.42857143,A,r,1,109,3,106,2.752293578
16.42857143,A,r,2,108,1,107,0.925925926
16.42857143,A,r,3,110,0,110,0
16.42857143,A,r,4,109,0,109,0
16.42857143,A,r,5,110,0,110,0
16.42857143,A,b,1,110,2,108,1.818181818
16.42857143,A,b,2,111,1,110,0.900900901
16.42857143,A,b,3,109,3,106,2.752293578
16.42857143,A,b,4,108,0,108,0
16.42857143,A,b,5,109,2,107,1.834862385
16.57142857,B,b,1,107,2,105,1.869158879
16.57142857,B,b,2,107,11,96,10.28037383
16.57142857,B,b,3,109,5,104,4.587155963
16.57142857,B,b,4,108,4,104,3.703703704
16.57142857,B,b,5,109,3,106,2.752293578
16.42857143,B,r,1,107,0,107,0
16.42857143,B,r,2,110,0,110,0
16.42857143,B,r,3,109,0,109,0
16.42857143,B,r,4,140,1,139,0.714285714
16.42857143,B,r,5,114,4,110,3.50877193
15.85714286,D,r,1,110,0,110,0
15.85714286,D,r,2,108,0,108,0
15.85714286,D,r,3,109,1,108,0.917431193
15.85714286,D,r,4,107,1,106,0.934579439
15.85714286,D,r,5,108,1,107,0.925925926
15.85714286,D,b,1,108,1,107,0.925925926
15.85714286,D,b,2,107,1,106,0.934579439
15.85714286,D,b,3,119,0,119,0
15.85714286,D,b,4,110,1,109,0.909090909
15.85714286,D,b,5,109,0,109,0
24.14285714,A,b,1,97,1,96,1.030927835
24.14285714,A,b,2,98,0,98,0
24.14285714,A,b,3,95,8,87,8.421052632
24.14285714,A,b,4,97,2,95,2.06185567
24.14285714,A,b,5,86,4,82,4.651162791
24.28571429,B,b,1,93,9,84,9.677419355
24.28571429,B,b,2,84,8,76,9.523809524
24.28571429,B,b,3,94,1,93,1.063829787
24.28571429,B,b,4,93,5,88,5.376344086
24.28571429,B,b,5,96,0,96,0
24.14285714,B,r,1,99,5,94,5.050505051
24.14285714,B,r,2,99,7,92,7.070707071
24.14285714,B,r,3,97,7,90,7.216494845
24.14285714,B,r,4,126,15,111,11.9047619
24.14285714,B,r,5,85,4,81,4.705882353
24.14285714,C,b,1,97,0,97,0
24.14285714,C,b,2,97,2,95,2.06185567
24.14285714,C,b,3,98,1,97,1.020408163
24.14285714,C,b,4,95,4,91,4.210526316
24.14285714,C,b,5,97,0,97,0
24.14285714,C,r,1,95,1,94,1.052631579
24.14285714,C,r,2,98,0,98,0
24.14285714,C,r,4,99,1,98,1.01010101
24.14285714,C,r,5,68,0,68,0
24.14285714,D,r,1,99,1,98,1.01010101
